,0
0,Aadan
1,Aamadu
2,Aamina
3,Aaminata
4,Abdou
5,Abdoul
6,Abdoulaye
7,Abdullaahi
8,Abdullahi
9,Abeba
10,Abena
11,Abeni
12,Aberash
13,Abidemi
14,Abimbola
15,Abiodun
16,Abiola
17,Abioye
18,Abosede
19,Aboubacar
20,Abubakar
21,Achieng
22,Adaeze
23,Adamou
24,Adanna
25,Adannaya
26,Ade 1
27,Adebayo
28,Adebola
29,Adebowale
30,Adedayo
31,Adegoke
32,Adekunle
33,Ademola
34,Adenike
35,Adeola
36,Adetokunbo
37,Adewale
38,Adhiambo
39,Adisa
40,Adjoa
41,Adwoa
42,Adzo
43,Afi
44,Afia
45,Afolabi
46,Afua
47,Ahmadu
48,Aïchatou
49,Aisha
50,Aishatu
51,Aïssa
52,Aïssatou
53,Akachi
54,Akinyi
55,Akosua
56,Akpan
57,Akpofure
58,Aku 2
59,Akua
60,Akuchi
61,Alaba
62,Alassane
63,Alemayehu
64,Alhaji
65,Alhassan
66,Alheri
67,Alinafe
68,Aliyu
69,Ama
70,Amadi 1
71,Amadi 2
72,Amadou
73,Amadu
74,Amahle
75,Amaka
76,Amara
77,Amarachi
78,Ameqran
79,Amina
80,Aminata
81,Aminatou
82,Aminu
83,Amondi
84,Anan 1
85,Andile
86,Anuli
87,Asabe
88,Asha 2
89,Ashura
90,Asma'u
91,Atieno
92,Awa
93,Awiti
94,Awotwi
95,Axmed
96,Ayaan 2
97,Ayanda
98,Ayele
99,Ayo
100,Ayodele
101,Ayokunle
102,Ayomide
103,Ayotunde
104,Ayuba
105,Azubuike
106,Baako
107,Babajide
108,Babatunde
109,Babirye
110,Bahati
111,Bakari
112,Balarabe
113,Bamidele
114,Bandile
115,Baraka
116,Bekele
117,Bello
118,Bereket
119,Berhane
120,Berhanu
121,Berko
122,Bilƙisu
123,Bitrus
124,Boipelo
125,Boitumelo
126,Bolanle
127,Bongani
128,Bonolo
129,Bontu
130,Bose
131,Bosede
132,Boubacar
133,Braam
134,Buhle
135,Bukar
136,Bukola
137,Businge
138,Cabdiraxmaan
139,Cabdullaahi
140,Cabdulqaadir
141,Cali 2
142,Charlize
143,Chausiku
144,Chi 2
145,Chiamaka
146,Chibueze
147,Chibuike
148,Chibuzo
149,Chichi
150,Chidi
151,Chidiebele
152,Chidiebere
153,Chidiebube
154,Chidiegwu
155,Chidike
156,Chidimma
157,Chidinma
158,Chidubem
159,Chiemeka
160,Chifundo
161,Chifuniro
162,Chigozie
163,Chijindum
164,Chijioke
165,Chika 1
166,Chike
167,Chikelu
168,Chikere
169,Chikondi
170,Chikumbutso
171,Chima
172,Chimezie
173,Chimwala
174,Chimwemwe
175,Chinasa
176,Chinedu
177,Chinenye
178,Chinonso
179,Chinwe
180,Chinweike
181,Chinwendu
182,Chinweuba
183,Chinyelu
184,Chinyere
185,Chioma
186,Chipiliro
187,Chipo
188,Chisom
189,Chisomo
190,Chiumbo
191,Chiyembekezo
192,Chizoba
193,Chrizanne
194,Chuks
195,Chukwudi
196,Chukwuebuka
197,Chukwuemeka
198,Chukwuma
199,Cismaan
200,Cusmaan
201,Dada
202,Dakarai
203,Dalitso
204,Danai 2
205,Ɗanjuma
206,Ɗanladi
207,Ɗanlami
208,Dawit
209,Dayo
210,Dejen
211,Desta
212,Dikeledi
213,Dubaku
214,Dumi
215,Dumisani
216,Ebele
217,Ebere
218,Ebrima
219,Ebuka
220,Efe 2
221,Efemena
222,Efua
223,Ejike
224,Ejiro
225,Ejiroghene
226,Ekene
227,Ekenedilichukwu
228,Ekua
229,Ekundayo
230,Ekwueme
231,Elias
232,Eliud
233,Emeka
234,Emem
235,Eniola
236,Enitan
237,Enu
238,Enyinnaya
239,Enyonam
240,Ermias
241,Ese
242,Eseoghene
243,Eshe
244,Esi
245,Eskender
246,Eskinder
247,Etenesh
248,Faarax
249,Fadhili
250,Faɗimatu
251,Fadumo
252,Fadzai
253,Farai
254,Faraji
255,Fatimata
256,Fatimatou
257,Fatou
258,Fatoumata
259,Fatsani
260,Fatuma
261,Femi
262,Filbert
