,0
0,Adem
1,Adile
2,Admir
3,Afërdita
4,Afrim
5,Agim
6,Agnesa
7,Agron
8,Aida
9,Ajla
10,Alban
11,Albana
12,Albert
13,Aleksandër
14,Alfred
15,Ali 1
16,Alma 1
17,Altin
18,Ana
19,Anila 2
20,Anisa
21,Anxhela
22,Arbana
23,Arben
24,Ardit
25,Ardita
26,Artan
27,Artur
28,Astrit
29,Bashkim
30,Behar
31,Behare
32,Bekim
33,Besim 2
34,Besnik
35,Blerim
36,Blerina
37,Blerta
38,Bora 2
39,Brunilda
40,Bujar
41,Burim
42,Dafina
43,Dardan
44,Dardana
45,Denis
46,Denisa
47,Dhimitër
48,Dren
49,Drita
50,Dritan
51,Edison
52,Edmond
53,Eduart
54,Egzon
55,Egzona
56,Elton
57,Endrit
58,Enver
59,Era
60,Ergi
61,Ervin
62,Esmeralda
63,Fadil
64,Fadile
65,Fatbardh
66,Fatbardha
67,Fatime
68,Fatmir
69,Fatmire
70,Festim
71,Fjolla
72,Flaka
73,Flamur
74,Flora
75,Flutura
76,Gazmend
77,Gentian
78,Gentiana
79,Gentius
80,Gëzim
81,Gjergj
82,Gjon
83,Gonxhe
84,Granit
85,Halil
86,Halit
87,Hamit
88,Hanife
89,Hasan
90,Ibrahim
91,Ilir
92,Irena
93,Isa 1
94,Ismail
95,Ismet
96,Jehona
97,Jozef
98,Kadri 2
99,Kaltrina
100,Katerina
101,Kejsi
102,Klaudia
103,Klea
104,Kostandin
105,Kristaq
106,Kristina
107,Kristo
108,Kristofor
109,Kujtim
110,Liljana
111,Lindita
112,Luan
113,Lule
114,Luljeta
115,Lulzim
116,Majlinda
117,Margarita
118,Marie
119,Marjana
120,Mehmet
121,Melisa
122,Merita 1
123,Mimoza
124,Mirela
125,Muhamet
126,Nadire
127,Naim
128,Nikollë
129,Osman
130,Pal
131,Pali
132,Pandeli
133,Pavli
134,Pëllumb
135,Përparim
136,Petrit
137,Pjetër
138,Pranvera
139,Qemal
140,Ramazan
141,Ramiz
142,Ramize
143,Robert
144,Roland
145,Sabri
146,Sami 2
147,Sara
148,Selim
149,Selman
150,Shaban
151,Shefqet
152,Shkëlqim
153,Shpresa
154,Shqipe
155,Skënder
156,Sokol
157,Spartak
158,Suad
159,Suada
160,Sulejman
161,Suzana
162,Teuta
163,Thoma
164,Valbona
165,Valentina
166,Vasil
167,Venera
168,Vera 2
169,Vesa 2
170,Violeta
171,Vjollca
172,Vladimir
173,Xhafer
174,Xhelal
175,Xhemal
176,Xhesika
177,Ylli
178,Yllka
179,Zef
