,0
0,Ahmose
1,Akhenaten
2,Akhenaton
3,Amenemhat
4,Amenemhet
5,Amenhotep
6,Amosis
7,Ankhesenamun
8,Cheops
9,Chephren
10,Djedefre
11,Djehutimesu
12,Djehutimose
13,Djoser
14,Hatshepsut
15,Hetepheres
16,Iahmesu
17,Imhotep
18,Khafra
19,Khafre
20,Khnum-Khufu
21,Khufu
22,Menes
23,Mentuhotep
24,Meresankh
25,Meritites
26,Mutemwiya
27,Mutnedjmet
28,Narmer
29,Neferkare
30,Nefertari
31,Nefertiti
32,Neferuptah
33,Neferusobek
34,Paphnoutios
35,Paphnutius
36,Rameses
37,Ramesses
38,Ramessu
39,Ramses
40,Rhamesses
41,Seti
42,Sneferu
43,Sobekhotep
44,Sobekneferu
45,Thutmose
46,Touthmosis
47,Tutankhamon
48,Tutankhamun
