,0
0,Abbán
1,Abdastartos
2,Abdastartus
3,Acacius
4,Achaemenes
5,Achaikos
6,Achaimenes
7,Achilles
8,Achilleus
9,Ada 1
10,Adad-Nirari
11,Adalberht
12,Adalbern
13,Adalbert
14,Adalfarus
15,Adalfuns
16,Adalgard
17,Adalgund
18,Adalhaid
19,Adalhard
20,Adalheidis
21,Adalindis
22,Adallinda
23,Adalwin
24,Adalwolf
25,Adamantios
26,Adela
27,Adelais
28,Adelgundis
29,Adelina
30,Adelmar
31,Adhelm
32,Adolf
33,Adolphus
34,Æbbe
35,Áed
36,Áedán
37,Áedh
38,Áednat
39,Ælfflæd
40,Ælfgar
41,Ælfgifu
42,Ælfheah
43,Ælfnoð
44,Ælfræd
45,Ælfric
46,Ælfsige
47,Ælfstan
48,Ælfswiþ
49,Ælfþryð
50,Ælfthryth
51,Ælfweard
52,Ælfwig
53,Ælfwine
54,Ælfwynn
55,Aelia
56,Aeliana
57,Aelianus
58,Aelius
59,Ælred
60,Aemilia
61,Aemiliana
62,Aemilianus
63,Aemilius
64,Aenor
65,Æsc
66,Aeschylus
67,Aesop
68,Æþelbeorht
69,Æðelberht
70,Æðelflæd
71,Æthelflæd
72,Æðelfrið
73,Æðelmær
74,Æthelnoð
75,Æðelræd
76,Æþelræd
77,Æthelred
78,Æðelric
79,Æthelric
80,Æðelstan
81,Æthelstan
82,Æðelþryð
83,Æthelthryth
84,Æthelweald
85,Æthelweard
86,Æðelwine
87,Æthelwine
88,Æðelwulf
89,Aetius
90,Affraic
91,Africanus
92,Agape
93,Agapetos
94,Agapetus
95,Agapios
96,Agatha
97,Agathe
98,Agathinos
99,Agathinus
100,Agathon
101,Aghi
102,Agi
103,Agilulf
104,Agimar
105,Agmundr
106,Agnarr
107,Agnes
108,Ago
109,Agrippa
110,Agrippina
111,Ahenobarbus
112,Ahmose
113,Aíbinn
114,Aífe
115,Aikaterine
116,Ailbe
117,Ailill
118,Aimeric
119,Áine
120,Airmanagild
121,Airmanareiks
122,Aischylos
123,Aisopos
124,Akakios
125,Akhenaten
126,Akhenaton
127,Áki
128,Alard
129,Alareiks
130,Alaric
131,Alawar
132,Alba 2
133,Alba 3
134,Albana
135,Albanus
136,Albarīks
137,Albaweniz
138,Alberic
139,Alberich
140,Albert
141,Albertus
142,Albina
143,Albinus
144,Alboin
145,Albus
146,Alcaeus
147,Alcibiades
148,Alda 1
149,Aldebrand
150,Aldegar
151,Aldegund
152,Aldegundis
153,Aldhard
154,Aldo
155,Aldric
156,Aldwin
157,Áleifr
158,Alexander
159,Alexandra
160,Alexandros
161,Alexios
162,Alexis
163,Alexius
164,Alfarr
165,Alfbern
166,Alfhard
167,Alfher
168,Alfhildr
169,Alfríkr
170,Alfvin
171,Alfwin
172,Algautr
173,Alia 2
174,Alibrand
175,Alkaios
176,Alkibiades
177,Alodia
178,Álǫf
179,Alphonsus
180,Altwidus
181,Alvarus
182,Alwin
183,Amalabairga
184,Amalaberga
185,Amalareiks
186,Amalaric
187,Amalasuintha
188,Amalaswinþa
189,Amalberga
190,Amalbert
191,Amalgaid
192,Amalia
193,Amalric
194,Amalrich
195,Ambrosia
196,Ambrosios
197,Ambrosius
198,Amelina
199,Amenemhat
200,Amenemhet
201,Amenhotep
202,Amlaíb
203,Amosis
204,Ampelios
205,Ampelius
206,Amyntas
207,Anacletus
208,Anakletos
209,Anastasia
210,Anastasios
211,Anastasius
212,Anatolios
213,Anatolius
214,Anaxagoras
215,Andebert
216,Andreas
217,Androcles
218,Androkles
219,Andronicus
220,Andronikos
221,Aneirin
222,Angharad
223,Angilbert
224,Anicetus
225,Aniketos
226,Ankhesenamun
227,Ansbert
228,Ansegar
229,Ansehelm
230,Anselm
231,Ansgar
232,Anso
233,Ansoald
234,Ansugaizaz
235,Ansuwaldaz
236,Anthelm
237,Anthousa
238,Antigonos
239,Antigonus
240,Antikleia
241,Antikles
242,Antiochos
243,Antiochus
244,Antipater
245,Antipatros
246,Antonia
247,Antonina
248,Antoninus
249,Antonius
250,Anundr
251,Anzo
252,Aphrodisia
253,Aphrodisios
254,Apollinaris
255,Apollodoros
256,Apollonia
257,Apollonides
258,Apollonios
259,Apollonius
260,Appius
261,Aquila
262,Aquilina
263,Aquilinus
264,Arcadius
265,Archelaos
266,Archelaus
267,Archembald
268,Archimedes
269,Archippe
270,Archippos
271,Archippus
272,Ardgal
273,Arete
274,Argyros
275,Ari 2
276,Arioald
277,Aristarchos
278,Aristarchus
279,Aristeides
280,Aristides
281,Aristocles
282,Aristodemos
283,Aristokles
284,Aristomache
285,Ariston
286,Aristophanes
287,Aristoteles
288,Aristotle
289,Arkadios
290,Arminius
291,Arnbjǫrg
292,Arnfinnr
293,Árni
294,Arnifrid
295,Arnoald
296,Arnold
297,Arnórr
298,Arnsteinn
299,Arnþórr
300,Arnulf
301,Arnviðr
302,Arsaces
303,Arsakes
304,Arsenios
305,Arsenius
306,Arshak
307,Arshaka
308,Arsinoe
309,Artaxerxes
310,Artaxshaça
311,Artemidoros
312,Artemios
313,Artemisia
314,Artemisios
315,Artemius
316,Artemon
317,Arthmail
318,Ása
319,Ásbjǫrn
320,Ascelin
321,Asclepiades
322,Asco
323,Ásdís
324,Ásgeirr
325,Áshildr
326,Ashoka
327,Ashur-Bani-Apli
328,Ashurbanipal
329,Ásketill
330,Asklepiades
331,Áslaug
332,Ásmundr
333,Ásný
334,Aspasia
335,Ásta
336,Asterios
337,Asterius
338,Ástríðr
339,Ásvaldr
340,Aþalaberhtaz
341,Aþalafuns
342,Aþalawulfaz
343,Aðalsteinn
344,Aþanareiks
345,Athanaric
346,Athanas
347,Athanasia
348,Athanasios
349,Athanasius
350,Athaulf
351,Aþawulfs
352,Athenais
353,Athenodoros
354,Atilius
355,Atossa
356,Atticus
357,Attikos
358,Auda
359,Audamar
360,Audawakrs
361,Audaweniz
362,Audo
363,Audoin
364,Audovacar
365,Audowin
366,Augusta
367,Augustina
368,Augustinus
369,Augustus
370,Aulus
371,Aurelia
372,Aureliana
373,Aurelianus
374,Aurelius
375,Auðr
376,Auðrhildr
377,Auðun
378,Auxentios
379,Auxentius
380,Ava 3
381,Avelina 1
382,Aveza
383,Avila
384,Avilius
385,Avitus
386,Bada
387,Badulf
388,Badurad
389,Bagadata
390,Baggi
391,Balbina
392,Balbinus
393,Balbus
394,Balderich
395,Baldewin
396,Baldilo
397,Baldo
398,Baldomar
399,Baldwin
400,Bardulf
401,Barrfind
402,Bárðr
403,Basileios
404,Basilius
405,Baugulf
406,Bébinn
407,Bel-Sharra-Usur
408,Belshazzar
409,Beorhtric
410,Beorhtsige
411,Beornræd
412,Berach
413,Berahard
414,Berahthraban
415,Berahthram
416,Berard
417,Berengar
418,Berengaria
419,Berenhard
420,Berenice
421,Berenike
422,Bergljót
423,Berhta
424,Berhtoald
425,Bernard
426,Bernhard
427,Bernuharduz
428,Bertha
429,Berthild
430,Bertilo
431,Bertram
432,Bertrand
433,Bion
434,Birgir
435,Bjarni
436,Bjartr
437,Bjǫrg
438,Bjǫrn
439,Bláán
440,Blanchard
441,Blandina
442,Blandinus
443,Blandus
444,Blasius
445,Boadicea
446,Bodo
447,Bomilcar
448,Borghildr
449,Bóthildr
450,Botwulf
451,Boudica
452,Boudicca
453,Bran 1
454,Brando
455,Brandr
456,Bréanainn
457,Brendanus
458,Brennus
459,Brian
460,Bricius
461,Brigit
462,Broccán
463,Broccomaglos
464,Brochmail
465,Bróðir
466,Brunhild
467,Brunihild
468,Brunjōhildiz
469,Bruno
470,Brutus
471,Brychan
472,Brynhildr
473,Brynja
474,Brynjarr
475,Búi
476,Burchard
477,Burgheard
478,Burkhard
479,Burkhart
480,Cadfan
481,Cadoc
482,Caecilia
483,Caecilius
484,Cáelfind
485,Caelia
486,Caelina
487,Caelinus
488,Caelius
489,Caesar
490,Caeso
491,Caesonia
492,Caesonius
493,Caíndelbán
494,Cainnech
495,Caius
496,Callias
497,Callinicus
498,Calpurnia
499,Calpurnius
500,Calvus
501,Cambyses
502,Camilla
503,Camillus
504,Caracalla
505,Caratācos
506,Caratacus
507,Caratauc
508,Carlman
509,Carloman
510,Carolus
511,Carthach
512,Cassander
513,Cassia
514,Cassian
515,Cassianus
516,Cassius
517,Catell
518,Catguocaun
519,Cathal
520,Cathalán
521,Cathán
522,Cathassach
523,Cato 1
524,Ceadda
525,Cellach
526,Cellachán
527,Celsus
528,Cenhelm
529,Cennétig
530,Cenric
531,Ceolmund
532,Cerball
533,Cerdic
534,Chares
535,Charibert
536,Chariclea
537,Charikleia
538,Charilaos
539,Chariovalda
540,Charis
541,Chariton
542,Charmion
543,Cheops
544,Chephren
545,Childebert
546,Childeric
547,Chilperic
548,Chlodechilda
549,Chlodochar
550,Chlodovech
551,Chlodulf
552,Chloe
553,Chlothar
554,Chrestos
555,Chrodechildis
556,Chrysanthe
557,Chrysanthos
558,Cian
559,Cianán
560,Ciar
561,Ciarán
562,Cicero
563,Cináed
564,Claudia
565,Claudius
566,Cleisthenes
567,Cleitus
568,Cleon
569,Cleopatra
570,Cléopâtre
571,Clisthenes
572,Clitus
573,Clodovicus
574,Cloelia
575,Cloelius
576,Clothildis
577,Cnaeus
578,Cóem
579,Cóemán
580,Cóemgein
581,Cola
582,Colmán
583,Colobert
584,Colum
585,Columb
586,Columbán
587,Comgal
588,Comgall
589,Conall
590,Conán
591,Conchobar
592,Conláed
593,Conn
594,Conrad
595,Conrí
596,Corinna
597,Corinthia
598,Cormacc
599,Cornelia
600,Cornelius
601,Cosmas
602,Crispinus
603,Crispus
604,Cúán
605,Cuimín
606,Cunigund
607,Cunobelinos
608,Cunobelinus
609,Cuthberht
610,Cynebald
611,Cyneburg
612,Cyneburga
613,Cynefrith
614,Cynefrið
615,Cyneheard
616,Cynemær
617,Cyneric
618,Cynesige
619,Cyneweard
620,Cynwrig
621,Cyprianus
622,Cyrillus
623,Cyrus
624,Dagfinnr
625,Dagmær
626,Dagný
627,Dagobert
628,Dagr
629,Dagrún
630,Dálach
631,Damán
632,Damianos
633,Damianus
634,Damnat
635,Danr
636,Darayavaush
637,Dareios
638,Darius
639,Decima
640,Decimus
641,Declán
642,Demetria
643,Demetrios
644,Demetrius
645,Democritus
646,Demokritos
647,Demon
648,Demophon
649,Demosthenes
650,Demostrate
651,Deorwine
652,Derbáil
653,Derbiled
654,Dewydd
655,Diadumenianus
656,Diarmait
657,Diocles
658,Diocletianus
659,Diodoros
660,Diodorus
661,Diodotos
662,Diodotus
663,Diogenes
664,Diokles
665,Dion
666,Dionysios
667,Dionysius
668,Dionysodoros
669,Djedefre
670,Djehutimesu
671,Djehutimose
672,Djoser
673,Domitia
674,Domitianus
