,0
0,Aali
1,Aaliyah
2,Aamina
3,Aaminah
4,'Aamir
5,Aamir 1
6,Aamir 2
7,'Abbas
8,Abbas
9,Abd al-Aziz
10,Abd al-Hamid
11,Abd al-Haqq
12,Abd al-Ilah
13,Abd al-Kader
14,Abd al-Karim
15,Abd Allah
16,Abd al-Latif
17,Abd al-Majid
18,Abd al-Malik
19,Abd al-Qadir
20,Abd al-Rahim
21,Abd al-Rahman
22,Abd al-Rashid
23,Abd al-Salam
24,Abd al-Wali
25,Abd ar-Rahim
26,Abd ar-Rahman
27,Abd ar-Rashid
28,Abd as-Salam
29,Abdelaziz
30,Abdelhak
31,Abdelhamid
32,Abdelkader
33,Abdellatif
34,Abdelmajid
35,Abderrahim
36,Abderrahmane
37,Abdeslam
38,Abdessalam
39,Abduh
40,Abdul
41,Abdul Aziz
42,Abdulaziz
43,Abdul Hamid
44,Abdul Haq
45,Abdulla
46,Abdullah
47,Abdul Rahman
48,Abdur Rahim
49,Abdur Rahman
50,Abdur Rashid
51,Abdus Salam
52,'Abla
53,Abrar
54,Abu
55,Abu al-Fadl
56,Abu Bakr
57,Abul-Fazl
58,Adam
59,Adel
60,Adil
61,Adila
62,Adnan
63,Afaf
64,Affan
65,Afif
66,Afifa
67,Afnan
68,Afra 2
69,Afzal
70,Aghlab
71,Ahmad
72,Ahmed
73,Ahsan
74,Aïcha
75,Aida
76,Aiman 2
77,'Aisha
78,A'isha
79,Aisha
80,Aishah
81,Akbar
82,Akif
83,Akilah
84,Akmal
85,Akram
86,Ala 1
87,Ala ad-Din
88,Ala al-Din
89,Al-Amir
90,Al-Hasan
91,'Ali
92,Ali 1
93,Alia 1
94,Alim
95,Aliya 1
96,Aliyah 1
97,Aliyya
98,Aliyyah
99,Almas
100,Alya 1
101,Amaal
102,Amal 1
103,Amani
104,Amel 2
105,Amin
106,Amina
107,Aminah 1
108,Aminah 2
109,Amine 1
110,Amir 1
111,Amira 1
112,Amirah
113,Amjad
114,'Ammar
115,Ammar
116,Amna
117,Anas
118,Anass
119,Anis
120,Anisa
121,Ansar
122,Anwar
123,Anwer
124,Aqil
125,Aqila
126,Arif
127,Arij
128,Arwa
129,As'ad
130,Asad
