,0
0,'Achashwerosh
1,'Ach'av
2,Achinoam
3,Adah
4,'Adalya'
5,Adam
6,'Adayah
7,'Adinah
8,Adlai
9,Adoniram
10,'Adoniyah
11,Adriel
12,Aharon
13,Aholibamah
14,'Akhsah
15,'Amaryahu
16,'Amatzyahu
17,Amittai
18,Ammiel
19,Amnon
20,Amos
21,Amram
22,Anah
23,Anaiah
24,Anan 2
25,Anani
26,Anat 2
27,Aram 3
28,Aran 2
29,Arieh
30,'Ari'el
31,Asa
32,Asaf
33,'Asenat
34,Asher
35,'Ashtoret
36,Asnappar
37,Atalyah
38,Atarah
39,'Avdi'el
40,Avidan
41,'Avi'el
42,'Avigayil
43,Avihu
44,'Avima'el
45,'Avimelekh
46,Aviram
47,Avishag
48,'Avishay
49,Avital
50,'Aviyah
51,Avner
52,Avraham
53,Avram
54,'Avshalom
55,Azarel
56,'Azaryah
57,'Azazyahu
58,Aziel
59,'Azri'el
60,Ba'al
61,Ba'al Zevuv
62,Barak 1
63,Barukh
64,Barzillai
65,Basmat
66,Bat-Sheva
67,Belshatzzar
68,Benayah
69,Bet'uel
70,Beulah
71,Bilhah
72,Binyamin
73,Bityah
74,Boaz
75,Chaggai
76,Chaggit
77,Chanan
78,Chananyah
79,Channah
80,Chanokh
81,Chavaqquq
82,Chawwah
83,Chaza'el
84,Cheftzi-Bah
85,Chizqiyahu
86,Chodesh
87,Chuldah
88,Dan 1
89,Daniyyel
90,Daryawesh
91,Dawid
92,Delayahu
93,Delilah
94,Devorah
95,Diklah
96,Dinah
97,'Ednah
98,Efrat
99,'Efrayim
100,Ehud
101,Eiran
102,Eitan
103,Elah
104,'El'azar
105,Elchanan
106,Eli 1
107,Eliav
108,Eliel
109,'Eli'ezer
110,'Elifalet
111,'Elifelet
112,Elihu
113,Elisha
114,Elisheva
115,Elishua
116,Eliyyahu
117,Elkanah
118,'Elnatan
119,Elon
120,Enosh
121,'Esaw
122,'Ester
123,Evyatar
124,Ezer
125,'Ezra'
126,Gad
127,Gamaliel
128,Gavri'el
129,Gedalyahu
130,Gemaryahu
131,Gershom
132,Gershon
133,Gid'on
134,Gilad
135,Golyat
136,Gomer
137,Hadassah
138,Hagar
139,Haman
140,Haran
141,Hevel
142,Hillel
143,Hiram
144,Hodiyah
145,Hoshea
146,'Iddo
147,Ikhavod
148,Ilai
149,Immanuel
150,'Ira'
151,Itamar
152,'Ittay
153,'Iyyov
154,'Izevel
155,Kalev 2
156,Kayin 2
157,Kazbi
158,Keinan
159,Kena'an
160,Kenanyahu
161,Keren Happukh
162,Ketzi'ah
163,Koresh
164,Laban
165,Lael
166,Leah
167,Lebanah
168,Lemekh
169,Lemuel
170,Lewi
171,Liwyatan
172,Lot 1
173,Ma'akhah
174,Ma'aseyah
175,Machalat
176,Machlah
177,Machli
178,Mal'akhi
179,Mara 1
180,Mattan
181,Mattanyahu
182,Mattithyahu
183,Mattityahu
184,Meheitav'el
185,Melech
186,Menachem
187,Menashsheh
188,Merav
189,Meshullam
190,Meshullemet
191,Metushelach
192,Mikha'el
193,Mikhah
194,Mikhal
195,Mikhayahu
196,Milkah
197,Miriam
198,Mordokhay
199,Moshe
200,Na'amah
201,Nachum
202,Nadav
203,Naftali
204,Na'omi
205,Natan
206,Nechemyah
207,Nekoda
208,Neriah
209,Netan'el
210,Netanyahu
211,Nevukhadnetztzar
212,Nimrod
213,Noach
214,No'ah
215,Nogah
216,Oded
217,Ofir
218,'Ofrah
219,Oholibamah
220,Omar 2
221,Omri
222,'Orpah
223,'Ovadyah
