,0
0,Áed
1,Agrona
2,Aífe
3,Ailbe
4,Ailbhe
5,Ailill
6,Áine
7,Andraste
8,Angharad
9,Aodh
10,Aoife
11,Aonghus
12,Aranrhod
13,Arawn
14,Arianrhod
15,Arthur
16,Balor
17,Bébinn
18,Bedivere
19,Bedwyr
20,Béibhinn
21,Belenos
22,Belenus
23,Beli
24,Bendigeidfran
25,Bile
26,Bláithín
27,Bláthíne
28,Bláthnaid
29,Bláthnat
30,Blodeuedd
31,Blodeuwedd
32,Boann
33,Bóinn
34,Brân
35,Bran 1
36,Bran 2
37,Branwen
38,Brígh
39,Brighid
40,Brigid
41,Brigit
42,Cáel
43,Cai 2
44,Céibhfhionn
45,Cernunnos
46,Cian
47,Ciar
48,Cleena
49,Clídna
50,Clíodhna
51,Conall
52,Conchobar
53,Conchobhar
54,Conchúr
55,Conlaoch
56,Conn
57,Connla
58,Conor
59,Cormac
60,Cormacc
61,Creiddylad
62,Cú Chulainn
63,Cúchulainn
64,Culann
65,Culhwch
66,Dagda
67,Dáire
68,Daireann
69,Dáirine
70,Deimne
71,Deirdre
72,Derdriu
73,Diarmaid
74,Diarmait
75,Diarmuid
76,Doireann
77,Doirend
78,Dylan
79,Eadán
80,Éadaoin
81,Éber
82,Éibhear
83,Éibhir
84,Eigyr
85,Éimhear
86,Eithne
87,Emer
88,Eógan
89,Eoghan
90,Epona
91,Ériu
92,Étaín
93,Étan
94,Ethne
95,Ethniu
96,Fachtna
97,Fearghas
98,Fedelm
99,Fedelmid
100,Fedlimid
101,Feidelm
102,Feidhelm
103,Feidlimid
104,Fergus
105,Fiachna
106,Fiachra
107,Fiachrae
108,Finn 1
109,Finnguala
110,Fintan
111,Fion
112,Fionn
113,Fionnghuala
114,Fionnuala
115,Geraint
116,Gobannos
117,Gofannon
118,Goibniu
119,Goronwy
120,Govannon
121,Gráinne
122,Gronw
123,Guendoleu
124,Gwalchmai
125,Gwalchmei
126,Gwawl
127,Gwenddoleu
128,Gwenddydd
129,Gwenhwyfar
130,Gwydion
131,Gwyn
132,Gwythyr
133,Heber 1
134,Heilyn
135,Kay 2
136,Ler
137,Lir
138,Lleu
139,Llew
140,Lludd
141,Llŷr
142,Llyr
143,Lóegaire
144,Lú
145,Lug
146,Lugaid
147,Lugh
148,Lughaidh
149,Lugos
150,Lugus
151,Mabon
152,Macsen
153,Maeve
154,Manannán
155,Manawydan
156,Maponos
157,Math
158,Matrona 2
159,Méabh
160,Meadhbh
161,Medb
162,Medraut
163,Medrod
164,Modred
165,Modron
166,Mordred
167,Morrígan
168,Mórríghan
169,Mór-Ríoghain
170,Muireann
171,Muirenn
172,Muirgen
173,Muirne
174,Myrddin
175,Naoise
176,Neas
177,Neasa
178,Nechtan
179,Ness 1
180,Nessa 3
181,Níam
182,Niamh
183,Nodens
184,Noíse
185,Nuada
186,Nuadha
187,Nuadu
188,Nudd
189,Óengus
190,Oisín
191,Oissíne
192,Olwen
193,Oscar
194,Parthalán
195,Partholón
196,Peredur
197,Pryderi
198,Pwyll
199,Rhiannon
200,Rigantona
201,Ríghnach
202,Ríoghnach
203,Sabia
204,Sadb
205,Sadbh
206,Sadhbh
207,Saraid
208,Sárait
209,Scáthach
210,Ségdae
211,Sinann
212,Sionann
213,Sláine
214,Suibhne
215,Suibne
216,Sweeney
217,Tadg
218,Tadhg
219,Taliesin
220,Taran
221,Taranis
222,Toutatis
223,Uther
224,Uthyr
