,0
0,Ah
1,Ai 2
2,An 1
3,Bai
4,Bao
5,Bo 2
6,Chang
7,Chao
8,Chen 1
9,Cheng
10,Chin
11,Chun
12,Da
13,Dong
14,Fang
15,Fen 1
16,Fu
17,Gang
18,Guanting
19,Guanyu
20,Guiying
21,Guo
22,Hai
23,He
24,Heng
25,Hong
26,Hua
27,Huan
28,Huang
29,Hui
30,Jia
31,Jiahao
32,Jian
33,Jiang
34,Jianhong
35,Jie
36,Jin 1
37,Jing
38,Jingyi
39,Ju
40,Juan 2
41,Jun 1
42,Kai 4
43,Kun
44,Lan 1
45,Lei 2
46,Li 1
47,Lian 2
48,Lim
49,Lin
50,Ling
51,Long
52,Mei 1
53,Min 1
54,Ming
55,Mu
56,Na
57,Ning
58,Nuan
59,Ping
60,Qiang
61,Qing
62,Qiu
63,Rong
64,Ru
65,Shi
66,Shu
67,Shufen
68,Shui
69,Shun 1
70,Su 2
71,Tai
72,Tao
73,Tu
74,Wei
75,Wen
76,Wu
77,Xia
78,Xiang
79,Xinyi
80,Xiu
81,Xiulan
82,Xiuying
83,Xue
84,Xun
85,Ya
86,Yahui
87,Yaling
88,Yan 2
89,Yang
90,Yating
91,Yawen
92,Yazhu
93,Yi
94,Yijun
95,Yin
96,Yong
97,Yu
98,Yun
99,Zan
100,Zedong
101,Zhen
102,Zheng
103,Zhi
104,Zhihao
105,Zhong
106,Zhou
