,0
0,Aafje
1,Aäron
2,Aart
3,Abe 2
4,Abel
5,Abraham
6,Ad
7,Ada 1
8,Adam
9,Adelbert
10,Adelheid
11,Adolf
12,Adriaan
13,Adriana
14,Adrianus
15,Agatha
16,Agnes
17,Albert
18,Albertus
19,Aldegonda
20,Aldert
21,Aleid
22,Aleida
23,Alex
24,Alexander
25,Alexandra
26,Alfons
27,Alfred
28,Alice
29,Alida
30,Allard
31,Alma 1
32,Alwin
33,Amalia
34,Amanda
35,Amber
36,Ambroos
37,André
38,Andrea 2
39,Andreas
40,Andries
41,Angela
42,Angelien
43,Angelina
44,Angelique
45,Anika 1
46,Anita 1
47,Anja
48,Anke
49,Anna
50,Annabel
51,Anne 1
52,Anneke
53,Annelien
54,Annelies
55,Anneliese
56,Annemarie
57,Annemiek
58,Annemieke
59,Annet
60,Annette
61,Annie
62,Annika
63,Annuska
64,Anouk
65,Anoushka
66,Anouska
67,Ans
68,Antje
69,Anton
70,Antonia
71,Antonie 2
72,Antonius
73,Antoon
74,Anuschka
75,Arend
76,Arie 1
77,Aris 2
78,Arjan
79,Arno
80,Arnold
81,Arnoud
82,Arnout
83,Arthur
84,Augustijn
85,Augustus
86,Babette
87,Barbara
88,Barend
89,Bart
90,Bartel
91,Bartholomeus
92,Bas
93,Bastiaan
94,Bea
95,Beatrix
96,Beau
97,Ben 1
98,Ben 2
99,Benedictus
100,Benjamin
101,Bente
102,Berend
103,Berendina
104,Bernadette
105,Bernard
106,Bernhard
107,Bert
108,Betje
109,Boaz
110,Bob
111,Boele
112,Bonifaas
113,Boudewijn
114,Bowie
115,Bram
116,Brecht
117,Brechtje
118,Brigitta
119,Brigitte
120,Broos
121,Carel
122,Carla
123,Carlijn
124,Carola
125,Carolien
126,Caroline
127,Cas
128,Casper
129,Catharina
130,Cato 2
131,Cecilia
132,Ceel
133,Cees
134,Chantal
135,Charlotte
136,Chloë
137,Chris
138,Christel
139,Christiaan
140,Christina
141,Christine
142,Christoffel
143,Cilla
144,Claudia
145,Clemens
146,Coba
147,Cobus
148,Coen
149,Coenraad
150,Cokkie
151,Constant
152,Constantijn
153,Coos
154,Cor
155,Corine
156,Corné
157,Cornelia
158,Cornelis
159,Cornelius
160,Corrie
161,Corry
162,Daan
163,Daley
164,Damiaan
165,Damian
166,Dani 2
167,Daniël
168,Daniëlle
169,Danique
170,Danny
171,Daphne
172,David
173,Debora
174,Denise
175,Dennis
176,Désirée
177,Diana
178,Diantha
179,Dick 2
180,Diede
181,Diederick
182,Diederik
183,Dieuwke
184,Dina 1
185,Dina 2
186,Dirk
187,Dirkje
188,Dominicus
189,Dora
190,Dorothea
191,Dries
192,Drika
193,Duuk
194,Ed
195,Eddy
196,Edith
197,Eduard
198,Edwin
199,Eef
200,Eefje
201,Egbert
202,Elbert
203,Eleonora
204,Elian
205,Elias
206,Eline
207,Elisabeth
208,Elise
209,Elke 1
210,Ellen 2
211,Elly
212,Elma
213,Els
214,Else
215,Elsje
216,Elvira
217,Emerens
218,Emiel
219,Emma
220,Emmy
221,Erik
222,Erna 1
223,Ernst
224,Erwin
225,Esmée
226,Esmee
227,Esther
228,Eva
229,Evelien
230,Eveline
231,Evert
232,Evi
233,Evy
234,Ewald
235,Ewoud
236,Ewout
237,Faas
238,Fabian
239,Famke
240,Febe
241,Felicia
242,Feline
243,Felix
244,Femke
245,Fenna
246,Fenne
247,Ferdi
248,Ferdinand
249,Fieke
250,Fien
251,Fiene
252,Filip
253,Filippus
254,Finn 1
255,Finn 2
256,Fleur
257,Fleurette
258,Flip
259,Floor
260,Floortje
261,Flora
262,Floris
263,Fons
264,Franciscus
265,Frank
266,Franka 1
267,Frans
268,Fred
269,Freddy
270,Frederik
271,Freek
272,Frits
273,Gabriël
274,Gabriëlle
275,Geert
276,Geertje
277,Geertruida
278,Gemma
279,Gerald
280,Gerard
281,Gerarda
282,Gerben
283,Gerd 1
284,Gerda 1
285,Gerdina
286,Gerhard
287,Gerlach
288,Gerlinde
289,Gerlof
290,Gerolt
291,Gerrit
292,Gerry
293,Gert
294,Gertie
295,Gertruida
296,Gideon
297,Gijs
298,Gijsbert
299,Gijsberta
300,Gilbert
301,Gillis
302,Gisela
303,Godelieve
304,Godfried
305,Goswin
306,Gratia
307,Greet
308,Greetje
309,Griet
310,Gust
311,Gusta
312,Gustaaf
313,Guus
314,Guusje
315,Hadewych
316,Hanke
317,Hanna 1
318,Hanna 2
319,Hannah
320,Hanne 1
321,Hannes
322,Hannie
323,Hans
324,Harm
325,Hedwig
326,Hedy
327,Hein 1
328,Heintje
329,Heleen
330,Heleentje
331,Helena
332,Helga
333,Helma
334,Hendrick
335,Hendricus
336,Hendrik
337,Hendrika
338,Hendrikje
339,Hendrikus
340,Hendrina
341,Henk
342,Hennie
343,Henny
344,Henricus
345,Henriëtte
346,Henriette
347,Herbert
348,Herman
349,Hermanus
350,Hermina
351,Hester
352,Hieronymus
353,Hilda
354,Hilde
355,Hubert
356,Hubertus
357,Hubrecht
358,Hugo
359,Huub
360,Ida
361,Ignaas
362,IJsbrand
363,Ilse
364,Imke
365,Ina
366,Indy 2
367,Ine
368,Inge
369,Ingrid
370,Irene
371,Iris
372,Irma
373,Isa 2
374,Isabeau
375,Isabel
376,Isabella
377,Isabelle
378,Ivo 1
379,Ivonne
380,Izaäk
381,Jaak
382,Jaap
383,Jacintha
384,Jacob
385,Jacoba
386,Jacobina
387,Jacobine
388,Jacobus
389,Jacomina
390,Jakob
391,Jan 1
392,Jana 1
393,Janine
394,Janna
395,Janneke
396,Jantine
397,Jantje
398,Jasmijn
399,Jasper
400,Jaylin
401,Jaylinn
402,Jeanette
403,Jeanine
404,Jeannette
405,Jef
406,Jelle
407,Jeltje
408,Jennifer
409,Jennigje
410,Jenny
411,Jeroen
412,Jesse
413,Jessica
414,Jet
415,Jetta
416,Jip
417,Jo
418,Job
419,Jochem
420,Jodocus
421,Joël
422,Joëlle
423,Joep
424,Joeri
425,Johan
426,Johanna
427,Johanneke
428,Johannes
429,John
430,Jolanda
431,Jonas 2
432,Jonathan
433,Joop
434,Joord
435,Joos
436,Joost
437,Jordaan
438,Joris
439,Jos
440,Josefien
441,Josephine
442,Josephus
443,Jozef
444,Jozefien
445,Jozua
446,Judith
447,Judocus
448,Julia
449,Juliana
450,Julie
451,Julius
452,Jurgen
453,Jurriaan
454,Justus
455,Juul
456,Kai 1
457,Karel
458,Karin
459,Karlijn
460,Kasper
461,Katelijn
462,Katelijne
463,Katinka
464,Katja
465,Katrien
466,Katrijn
467,Kay 3
468,Keano
469,Kees
470,Kerneels
471,Kevin
472,Klaas
473,Klasina
474,Klazina
475,Kobe 1
476,Kobus
477,Koen
478,Koenraad
479,Koert
480,Koos
481,Kris
482,Kristel
483,Lambert
484,Lammert
485,Lara 1
486,Lars
487,Lau
488,Laura
489,Laurens
490,Laurie
491,Lea
492,Lena
493,Lenn
494,Lennard
495,Lennart
496,Leo
497,Leon
498,Leonard
499,Leonie
500,Leopold
501,Levi
502,Lex
503,Lia 2
504,Liam
505,Lieke
506,Lien
507,Lies
508,Liesbeth
509,Liese
510,Liesje
511,Lieve
512,Lieven
513,Lievin
514,Lijsbeth
515,Linda
516,Linde
517,Lisa
518,Lisanne
519,Liselot
520,Liselotte
521,Livia 1
522,Lize
523,Lodewijk
524,Loek
525,Loes
526,Lotte
527,Louis
528,Louisa
529,Louise
530,Lourens
531,Lowie
532,Lubbert
533,Lucas
534,Lucia
535,Ludo
536,Ludovicus
537,Lukas
538,Lutgard
539,Lutgarde
540,Lutgardis
541,Luuk
542,Luus
543,Lydia
544,Lysanne
545,Maaike
546,Maarten
547,Maartje
548,Maas
549,Machteld
550,Madelief
551,Madelon
552,Magda
553,Magdalena
554,Maikel
555,Manfred
556,Mannes
557,Manon
558,Marcel
559,Marco
560,Marga
561,Margaretha
562,Margreet
563,Margriet
564,Maria
565,Marianne
566,Marie
567,Marieke
568,Mariëlle
569,Mariëtte
570,Marijke
571,Marijn
572,Marijse
573,Marike
574,Marina
575,Marinus
576,Mariska
577,Marit
578,Marita 1
579,Marius
580,Marja
581,Marjan 1
582,Marjo 1
583,Marjo 2
584,Marjolein
585,Marjolijn
586,Mark
587,Marleen
588,Marlies
589,Marloes
590,Marnix
591,Mart
592,Marta
593,Marten
594,Martha
595,Martijn
596,Martina
597,Martine
598,Martinus
599,Mathijs
600,Mathilda
601,Mathilde
602,Matthias
603,Matthijs
604,Maud
605,Maurits
606,Max
607,Maximiliaan
608,Mechteld
609,Mees
610,Meike
611,Meinard
612,Meindert
613,Meine
614,Meint
615,Meintje
616,Melanie
617,Melchior
618,Melissa
619,Melle
620,Menno
621,Merel
622,Mia
623,Micha 1
624,Micha 2
625,Michaël
626,Michael
627,Michel
628,Michelle
629,Michiel
630,Mick
631,Mieke
632,Mien
633,Miep
634,Mies
635,Milou
636,Mina 1
637,Minke
638,Miranda
639,Mireille
640,Mirjam
641,Mirte
642,Mirthe
643,Mischa
644,Monica
645,Monique
646,Moos
647,Mozes
648,Myrthe
649,Nadine
650,Natalia
651,Natalie
652,Natascha
653,Natasja
654,Nathalie
655,Neeltje
656,Nele
657,Nes
658,Neske
659,Nick
660,Nico
661,Nicolaas
662,Nicole
663,Nicolet
664,Nicoline
665,Niek
666,Niels 2
667,Nikolaas
668,Nina 1
669,Noa 1
670,Noach
671,Noëlle
672,Noor 2
673,Noortje
674,Nora 1
675,Norbert
676,Noud
677,Nout
678,Nova
679,Olaf
680,Olivier
681,Oscar
682,Otto
683,Pascal
684,Paul
685,Paula
686,Paulien
687,Pauwel
688,Pepijn
689,Peter
690,Petra
691,Petronella
692,Petrus
693,Philip
694,Pien
695,Pier
696,Piet
697,Pieter
698,Pietronella
699,Pim
700,Pleun
701,Puck
702,Puk
703,Quinten
704,Quirijn
705,Quirine
706,Rachel
707,Radboud
708,Raf
709,Rafaël
710,Rebecca
711,Rebekka
712,Rein
713,Reinier
714,Reinoud
715,Reinout
716,Rembrandt
717,Renate
718,René
719,Renée
720,Rens
721,Renske
722,Ria
723,Rianne
724,Richard
725,Rien 1
726,Rien 2
727,Rik
728,Rika
729,Rina 1
730,Rini
731,Rinus
732,Riny
733,Rob
734,Robbe
735,Robert
736,Robin
737,Robrecht
738,Rochus
739,Rodolf
740,Roel
741,Roeland
742,Roelof
743,Roger
744,Rogier
745,Rokus
746,Roland
747,Romein
748,Romy
749,Ronald
750,Roos
751,Roosje
752,Rosa 1
753,Rosalie
754,Rosanne
755,Rosemarie
756,Roy
757,Ruben
758,Rudolf
759,Rutger
760,Ruth 1
761,Ruud
762,Saar 1
763,Sabien
764,Sabine
765,Samantha
766,Samuel
767,Sander
768,Sandra
769,Sanne
770,Sara
771,Sarah
772,Sarina
773,Sascha
774,Saskia
775,Sebastiaan
776,Selma 1
777,Sem
778,Senn
779,Senna
780,Senne
781,Seppe
782,Servaas
783,Sieger
784,Siem
785,Siemen
786,Sieuwerd
787,Silke
788,Silvia
789,Simon 1
790,Simone 1
791,Sjaak
792,Sjakie
793,Sjef
794,Sjoerd
795,Sjors
796,Sofie
797,Sonja
798,Sophie
799,Staas
800,Stan 3
801,Stef
802,Stefan
803,Stefanie
804,Stefanus
805,Steffen
806,Stella 1
807,Stephan
808,Sterre
809,Steven
810,Stien
811,Stijn
812,Storm
813,Susanna
814,Suus
815,Suzanne
816,Suze
817,Sven
818,Sylvia
819,Tamara
820,Tatiana
821,Tess
822,Tessa
823,Teun
824,Teuna
825,Teunis
826,Thecla
827,Theo
828,Theodoor
829,Theodorus
830,Theofilus
831,Thera
832,Theresia
833,Theun
834,Theunis
835,Thijmen
836,Thijs
837,Thirza
838,Thomas
839,Thyrza
840,Ties
841,Tijmen
842,Tijn
843,Tijs
844,Til
845,Tim
846,Timo 1
847,Timo 2
848,Timon
849,Timotheus
850,Tina
851,Tineke
852,Tjeerd
853,Tom 1
854,Ton
855,Toon
856,Trees
857,Trijntje
858,Trudie
859,Trudy
860,Truus
861,Tuur
862,Tycho
863,Tygo
864,Ursula
865,Vaast
866,Valentijn
