,0
0,Amen
1,Ammon
2,Amon
3,Amonet
4,Amon-Ra
5,Amun
6,Amunet
7,Anapa
8,Anoubis
9,Anubis
10,Apis
11,Asar
12,Atem
13,Aten
14,Aton
15,Atum
16,Bast
17,Bastet
18,Djehuti
19,Geb
20,Hapi
21,Hathor
22,Heru
23,Horos
24,Horus
25,Hut-Heru
26,Iah
27,Iset
28,Iside
29,Isis
30,Khnum
31,Khonsu
32,Maat
33,Montu
34,Mut
35,Nebet-Hut
36,Neith
37,Nephthys
38,Nit
39,Nu
40,Nut
41,Onnophris
42,Onouphrios
43,Onuphrius
44,Osiris
45,Ptah
46,Ra
47,Re
48,Sekhmet
49,Serapis
50,Serket
51,Set
52,Seth 2
53,Sobek
54,Sopdet
55,Sutekh
56,Taweret
57,Thoth
58,Yamanu
59,Yamanut
