,0
0,Aaron
1,Abel
2,Abigaëlle
3,Abraham
4,Achille
5,Adam
6,Adélaïde
7,Adélard
8,Adèle
9,Adélie
10,Adeline
11,Adolphe
12,Adrien
13,Adrienne
14,Agathe
15,Aglaé
16,Agnès
17,Aimé
18,Aimée
19,Alain
20,Alan
21,Alban
22,Albane
23,Albert
24,Alberte 2
25,Albertine
26,Albin
27,Albine
28,Alcide
29,Aldéric
30,Aldric
31,Alex
32,Alexandra
33,Alexandre
34,Alexandrie
35,Alexandrine
36,Alexia
37,Alexis
38,Alfred
39,Alice
40,Alicia
41,Aliénor
42,Aline
43,Alison 1
44,Alix
45,Alizée
46,Alphonse
47,Alphonsine
48,Amable
49,Amand
50,Amandine
51,Amarante
52,Amaury
53,Ambre
54,Ambroise
55,Amédée
56,Amélia
57,Amélie
58,Amour
59,Anaclet
60,Anaëlle
61,Anaïs
62,Anastasie
63,Anatole
64,André
65,Andréa
66,Andrée
67,Ange
68,Angèle
69,Angeline
70,Angélique
71,Annabelle
72,Anne 1
73,Anne-Laure
74,Anne-Marie
75,Anne-Sophie
76,Annette
77,Annick
78,Annie
79,Anny
80,Anouk
81,Anselme
82,Anthelme
83,Antoine
84,Antoinette
85,Antonin
86,Apollinaire
87,Apolline
88,Ariane
89,Arianne
90,Ariel
91,Arielle
92,Aristide
93,Arlette
94,Armand
95,Armel
96,Armelle
97,Arnaud
98,Arnaude
99,Arsène
100,Arthur
101,Astrid
102,Astride
103,Athanase
104,Athénaïs
105,Aubert
106,Aubin
107,Aude
108,Audrey
109,Auguste 1
110,Augustin
111,Augustine 2
112,Aurèle
113,Aurélia
114,Aurélie
115,Aurélien
116,Aurore
117,Avril
118,Axel
119,Axelle
120,Aymeric
121,Azélie
122,Babette
123,Babylas
124,Baptiste
125,Barbara
126,Barbe
127,Barnabé
128,Barthélémy
129,Basile
130,Bastien
131,Bathilde
132,Baudouin
133,Béatrice
134,Bénédicte
135,Benjamin
136,Benjamine
137,Benoît
138,Benoîte
139,Bérenger
140,Bérengère
141,Bérénice
142,Bernadette
143,Bernard
144,Bernardine
145,Berthe
146,Bertille
147,Bertrand
148,Bijou
149,Blaise
150,Blanche
151,Blandine
152,Bonaventure
153,Boniface
154,Boris
155,Brice
156,Brigitte
157,Bruno
158,Calixte
159,Camélia
160,Camille
161,Candide
162,Capucine
163,Carine
164,Carmen
165,Carole
166,Caroline
167,Casimir
168,Cassandra
169,Cassandre
170,Catherine
171,Cécile
172,Cécilia
173,Cédric
174,Céleste
175,Célestin
176,Célestine
177,Célia
178,Céline
179,Cerise
180,Césaire
181,César
182,Chantal
183,Charlène
184,Charles
185,Charline
186,Charlot
187,Charlotte
188,Chloé
189,Chrétien
190,Christel
191,Christèle
192,Christelle
193,Christian
194,Christiane
195,Christianne
196,Christine
197,Christophe
198,Chrystelle
199,Clair
200,Claire
201,Clara
202,Clarisse
203,Claude
204,Claudette
205,Claudie
206,Claudine
207,Cléa
208,Clémence
209,Clément
210,Clémentine
211,Cléo
212,Cloé
213,Clotaire
214,Clothilde
215,Clotilde
216,Clovis
217,Colette
218,Coline
219,Colombe
220,Côme
221,Constance
222,Constant
223,Constantin
224,Coralie
225,Coraline
226,Corentin
227,Corin
228,Corine
229,Corinne
230,Corneille
231,Cornélie
232,Cosette
233,Cunégonde
234,Cynthia
235,Cyprien
236,Cyriaque
237,Cyrielle
238,Cyril
239,Cyrille
240,Dalila
241,Damien
242,Dan 2
243,Daniel
244,Danièle
245,Danielle
246,Dany
247,Daphné
248,Daphnée
249,David
250,Débora
251,Déborah
252,Délia
253,Delphine
254,Denis
255,Denise
256,Déodat
257,Désiré
258,Désirée
259,Diane
260,Didier
261,Dieudonné
262,Dieudonnée
263,Dimitri
264,Diodore
265,Dominique
266,Domitille
267,Donat
268,Donatien
269,Donatienne
270,Dorian
271,Doriane
272,Dorothée
273,Eddy
274,Eden
275,Edgar
276,Edgard
277,Édith
278,Edmé
279,Edmée
280,Edmond
281,Edmonde
282,Édouard
283,Edwige
284,Églantine
285,Eléonore
286,Éliane
287,Élie
288,Élisabeth
289,Élise
290,Élodie
291,Éloi
292,Éloïse
293,Elouan
294,Elvire
295,Émeline
296,Émeric
297,Émile
298,Émilie
299,Émilien
300,Émilienne
301,Emma
302,Emmanuel
303,Emmanuelle
304,Emmy
305,Emy
306,Enora
307,Enzo
308,Éric
309,Ernest
310,Ernestine
311,Estelle
312,Esther
313,Ethan
314,Étienne
315,Étiennette
316,Eugène
317,Eugénie
318,Eulalie
319,Euphrasie
320,Eustache
321,Évariste
322,Ève
323,Eveline
324,Évelyne
325,Évrard
326,Fabien
327,Fabienne
328,Fabrice
329,Fanny
330,Faron
331,Faustin
332,Faustine
333,Félicie
334,Félicien
335,Félicienne
336,Félicité
337,Félix
338,Ferdinand
339,Fernand
340,Fernande
341,Fiacre
342,Fifi
343,Firmin
344,Flavie
345,Flavien
346,Flavienne
347,Fleur
348,Fleurette
349,Flora
350,Flore
351,Florence
352,Florent
353,Florentin
354,Florentine
355,Florette
356,Florian
357,Floriane
358,Florianne
359,Florimond
360,Florine
361,Fortune
362,France 1
363,Francette
364,Francine
365,Francis
366,Francisque
367,Franck
368,François
369,Françoise
370,François-Marie
371,François-Xavier
372,Frank
373,Fred
374,Freddy
375,Frédéric
376,Frédérique
377,Fulbert
378,Gabin
379,Gabriel
380,Gabrielle
381,Gaby
382,Gaël
383,Gaëlle
384,Gaétan
385,Gaëtan
386,Gaétane
387,Gaëtane
388,Garance
389,Gaspard
390,Gaston
391,Gaubert
392,Gaultier
393,Gauthier
394,Gautier
395,Gauvain
396,Geneviève
397,Geoffrey
398,Geoffroy
399,Georges
400,Georgette
401,Georgine
402,Gérald
403,Géraldine
404,Gérard
405,Géraud
406,Germain
407,Germaine
408,Gertrude
409,Gervais
410,Gervaise
411,Ghislain
412,Ghislaine
413,Ghyslain
414,Ghyslaine
415,Gigi 1
416,Gilbert
417,Gilberte
418,Gilles
419,Gillette
420,Ginette
421,Gisèle
422,Giselle
423,Gladys
424,Godefroy
425,Gontran
426,Gratien
427,Grégoire
428,Grégory
429,Guenièvre
430,Guillaume
431,Gustave
432,Guy 1
433,Gwenaël
434,Gwenaëlle
435,Gwendoline
436,Hadrien
437,Haydée
438,Hector
439,Hélène
440,Hélier
441,Héloïse
442,Henri
443,Henriette
444,Herbert
445,Hercule
446,Hermine
447,Hervé
448,Hilaire
449,Hildegarde
450,Hippolyte 2
451,Honoré
452,Honorine
453,Horace
454,Hortense
455,Hubert
456,Hugo
457,Hugues
458,Huguette
459,Humbert
460,Hyacinthe
461,Ida
462,Ignace
463,Inès
464,Irène
465,Irénée
466,Iris
467,Isaac
468,Isabeau
469,Isabel
470,Isabelle
471,Isaure
472,Isidore
473,Ismaël
474,Jacinthe
475,Jacky
476,Jacqueline
477,Jacques
478,Jacquette
