,0
0,Aaron
1,Achim 1
2,Ada 1
3,Adalbert
4,Adam
5,Adelbert
6,Adele
7,Adelheid
8,Adelinde
9,Adi 3
10,Adolf
11,Adrian
12,Agatha
13,Agathe
14,Agnes
15,Alban
16,Albert
17,Albina
18,Albrecht
19,Alena 1
20,Alex
21,Alexa
22,Alexander
23,Alexandra
24,Alfons
25,Alfred
26,Alfreda
27,Alice
28,Alida
29,Alina
30,Alma 1
31,Alois
32,Aloisia
33,Aloysia
34,Alwin
35,Alwine
36,Amalia
37,Amalie
38,Amelie
39,André
40,Andrea 2
41,Andreas
42,Anelie
43,Angela
44,Angelika
45,Angelina
46,Anika 1
47,Anina
48,Anita 1
49,Anja
50,Anna
51,Annalena
52,Anne 1
53,Annegret
54,Anneli
55,Annelie
56,Annelies
57,Anneliese
58,Annemarie
59,Annett
60,Annette
61,Anni
62,Annika
63,Ann-Katrin
64,Anselm
65,Anselma
66,Ansgar
67,Anton
68,Antonia
69,Anuschka
70,Arend
71,Ariane
72,Armin
73,Arnd
74,Arndt
75,Arne 2
76,Arnfried
77,Arno
78,Arnold
79,Arnulf
80,Arthur
81,Artur
82,Astrid
83,August
84,Augusta
85,Auguste 2
86,Augustin
87,Aurel
88,Ava 3
89,Axel
90,Babette
91,Baldur
92,Baptist
93,Barbara
94,Bärbel
95,Barnabas
96,Bartholomäus
97,Bastian
98,Beat
99,Beata
100,Beate
101,Beatrix
102,Ben 1
103,Benedikt
104,Benedikta
105,Benjamin
106,Benno
107,Bernadette
108,Bernd
109,Bernhard
110,Bert
111,Berta
112,Bertha
113,Berthold
114,Bertram
115,Bettina
116,Bianka
117,Birgit
118,Birk
119,Bjoern
120,Björn
121,Bonifaz
122,Boris
123,Brigitta
124,Brigitte
125,Brunhild
126,Brunhilde
127,Bruno
128,Burchard
129,Burkhard
130,Burkhart
131,Cäcilia
132,Cäcilie
133,Camilla
134,Carina 1
135,Carina 2
136,Carl
137,Carla
138,Carmen
139,Carola
140,Carolin
141,Caroline
142,Cathrin
143,Catrin
144,Celina
145,Celine
146,Charlotte
147,Chris
148,Christa
149,Christel
150,Christian
151,Christiane
152,Christin
153,Christina
154,Christine
155,Christoph
156,Clara
157,Claudia
158,Claus
159,Clemens
160,Conrad
161,Constanze
162,Cora
163,Corbinian
164,Cord
165,Cordula
166,Corina
167,Corinna
168,Cornelia
169,Cornelius
170,Crescentia
171,Dagmar
172,Dagobert
173,Dan 2
174,Dana 1
175,Daniel
176,Daniela
177,David
178,Debora
179,Denis
180,Dennis
181,Désirée
182,Detlef
183,Detlev
184,Diana
185,Didi
186,Diederich
187,Diedrich
188,Dierk
189,Dieter
190,Dietfried
191,Diethard
192,Diethelm
193,Diether
194,Dietlind
195,Dietlinde
196,Dietmar
197,Dietrich
198,Dirk
199,Dita
200,Dominik
201,Dora
202,Doris
203,Dorothea
204,Dorothee
205,Eberhard
206,Eckart
207,Eckbert
208,Eckehard
209,Eckhard
210,Eckhart
211,Edelgard
212,Edgar
213,Edith
214,Editha
215,Edmund
216,Eduard
217,Egon
218,Eike
219,Ekkehard
220,Ekkehardt
221,Elena
222,Eleonora
223,Eleonore
224,Elfriede
225,Elias
226,Elisa
227,Elisabeth
228,Elise
229,Elke 1
230,Ella 2
231,Ellen 1
232,Elli 2
233,Elma
234,Elmar
235,Elsa
236,Else
237,Elvira
238,Emanuel
239,Emil
240,Emilia
241,Emilie
242,Emma
243,Emmerich
244,Emmy
245,Engel
246,Engelbert
247,Erdmann
248,Erhard
249,Eric
250,Erich
251,Erik
252,Erika
253,Erna 1
254,Ernestine
255,Ernst
256,Erwin
257,Esther
258,Eugen
259,Eugenie
260,Eva
261,Evelin
262,Evelyn
263,Evi
264,Ewald
265,Fabian
266,Falk
267,Felicie
268,Felicitas
269,Felix
270,Felizitas
271,Ferdi
272,Ferdinand
273,Fiete
274,Finn 1
275,Finn 2
276,Flora
277,Florentin
278,Florian
279,Frank
280,Franka 1
281,Franz
282,Fränze
283,Franzi
284,Franziska
285,Franz Xaver
286,Frauke
287,Fred
288,Freya
289,Frida 1
290,Frieda
291,Friede
292,Friedemann
293,Friederike
294,Friedhelm
295,Friedhold
296,Friedrich
297,Fritz
298,Fritzi
299,Fynn
300,Gabi
301,Gabriel
302,Gabriela
303,Gabriele 2
304,Gebhard
305,Georg
306,Gerald
307,Gerd 1
308,Gerda 1
309,Gereon
310,Gerfried
311,Gerhard
312,Gerhardt
313,Gerhild
314,Gerhold
315,Gerlinde
316,Gernot
317,Gero
318,Gerold
319,Gerolf
320,Gert
321,Gerta
322,Gerti
323,Gertraud
324,Gertrud
325,Gertrude
326,Gesine
327,Gisa
328,Gisbert
329,Gisela
330,Gitta
331,Gloria
332,Gottfried
333,Gotthard
334,Gotthilf
335,Gotthold
336,Gottlieb
337,Gottlob
338,Gottschalk
339,Gregor
340,Greta
341,Gretchen
342,Grete
343,Gretel
344,Gudrun
345,Guido
346,Gunda
347,Gundula
348,Günter
349,Gunter
350,Günther
351,Gunther
352,Guntram
353,Gustav
354,Gustava
355,Hagen
356,Hanna 1
357,Hanna 2
358,Hannah
359,Hanne 1
360,Hanne 2
361,Hannelore
362,Hannes
363,Hans
364,Hänsel
365,Hans-Günter
366,Hans-Günther
367,Hansjörg
368,Hans-Jürgen
369,Hans-Peter
370,Hanspeter
371,Harald
372,Hardy 2
373,Hartmann
374,Hartmut
375,Hartwig
376,Hartwin
377,Hasso
378,Hauke
379,Hedwig
380,Hedy
381,Heida
382,Heide
383,Heidemarie
384,Heidi
385,Heidrun
386,Heike
387,Heiko
388,Heilwig
389,Heiner
390,Heino
391,Heinrich
392,Heinrike
393,Heinz
394,Helena
395,Helene
396,Helfried
397,Helga
398,Helge
399,Hella
400,Helma
401,Helmfried
402,Helmine
403,Helmut
404,Helmuth
405,Hendrik
406,Henning
407,Henriette
408,Henrik
409,Henrike
410,Herbert
411,Heribert
412,Hermann
413,Hermenegild
414,Hermine
415,Herta
416,Hertha
417,Hieronymus
418,Hilbert
419,Hilda
420,Hilde
421,Hildebert
422,Hildebrand
423,Hildegard
424,Hildegund
425,Hildegunde
426,Hilmar
427,Hiltraud
428,Hiltrud
429,Hiltrude
430,Holger
431,Horst
432,Hubert
433,Hubertus
434,Hugo
435,Humbert
436,Ida
437,Ignatz
438,Ignaz
439,Ilka
440,Ilona
441,Ilsa
442,Ilse
443,Immanuel
444,Ina
445,Inga
446,Inge
447,Ingeborg
448,Ingeburg
