,0
0,Ada 1
1,Adalberht
2,Adalbern
3,Adalbert
4,Adalfarus
5,Adalfuns
6,Adalgard
7,Adalgund
8,Adalhaid
9,Adalhard
10,Adalheidis
11,Adalindis
12,Adallinda
13,Adalwin
14,Adalwolf
15,Adela
16,Adelais
17,Adelgundis
18,Adelina
19,Adelmar
20,Adhelm
21,Adolf
22,Adolphus
23,Aenor
24,Agi
25,Agilulf
26,Agimar
27,Ago
28,Aimeric
29,Alard
30,Alawar
31,Alba 3
32,Alberic
33,Alberich
34,Albert
35,Albertus
36,Alboin
37,Alda 1
38,Aldebrand
39,Aldegar
40,Aldegund
41,Aldegundis
42,Aldhard
43,Aldo
44,Aldric
45,Aldwin
46,Alfbern
47,Alfhard
48,Alfher
49,Alfwin
50,Alia 2
51,Alibrand
52,Altwidus
53,Alwin
54,Amalberga
55,Amalbert
56,Amalia
57,Amalrich
58,Amelina
59,Andebert
60,Angilbert
61,Ansbert
62,Ansegar
63,Ansehelm
64,Anselm
65,Ansgar
66,Anso
67,Ansoald
68,Anthelm
69,Anzo
70,Archembald
71,Arioald
72,Arnifrid
73,Arnoald
74,Arnold
75,Arnulf
76,Ascelin
77,Asco
78,Auda
79,Audamar
80,Audo
81,Audoin
82,Audowin
83,Ava 3
84,Avelina 1
85,Aveza
86,Avila
87,Badulf
88,Badurad
89,Balderich
90,Baldewin
91,Baldilo
92,Baldo
93,Baldomar
94,Baldwin
95,Bardulf
96,Baugulf
97,Berahard
98,Berahthraban
99,Berahthram
100,Berard
101,Berengar
102,Berengaria
103,Berenhard
104,Berhta
105,Berhtoald
106,Bernard
107,Bernhard
108,Bertha
109,Berthild
110,Bertilo
111,Bertram
112,Bertrand
113,Blanchard
114,Bodo
115,Brando
116,Brunhild
117,Brunihild
118,Bruno
119,Burchard
120,Burkhard
121,Burkhart
122,Carlman
123,Carloman
124,Carolus
125,Charibert
126,Childebert
127,Childeric
128,Chilperic
129,Chlodechilda
130,Chlodochar
131,Chlodovech
132,Chlodulf
133,Chlothar
134,Chrodechildis
135,Clodovicus
136,Clothildis
137,Colobert
138,Conrad
139,Cunigund
140,Dagobert
141,Eberhard
142,Eberwin
143,Egilhard
144,Egilmar
145,Egino
146,Ekkebert
147,Ekkehard
148,Ellanher
149,Emma
150,Emmerich
151,Engel
152,Engelbert
153,Engilram
154,Ercanbald
155,Erhard
156,Ermelinde
157,Ermendrud
158,Ermengard
159,Ermengarde
160,Ermengardis
161,Ermenrich
162,Ermentrud
163,Ermentrude
164,Ermentrudis
165,Erminhilt
166,Erminigild
167,Erminlinda
168,Ernust
169,Erwin
170,Ewald
171,Farahild
172,Faramund
173,Faro
174,Faroald
175,Farohildis
176,Filibert
177,Folcmar
178,Franko
179,Frida 1
180,Fridenot
181,Friduhelm
182,Friduman
183,Fridumar
184,Friduric
185,Fridwald
186,Fulbert
187,Fulchard
188,Fulcher
189,Fulco
190,Garibald
191,Gasto
192,Gaufrid
193,Gautbert
194,Gautfrid
195,Gautselin
196,Gautwin
197,Gebahard
198,Gebhard
199,Gerbald
200,Gerbern
201,Gerbold
202,Geretrudis
203,Gerfrid
204,Gerhard
205,Gerhild
206,Gerlach
207,Gerlind
208,Germund
209,Gernot
210,Gero
211,Geroald
212,Gerold
213,Gertrud
214,Gerulf
215,Gervasius
216,Gerwas
217,Gilbert
218,Giltbert
219,Gisbert
220,Giselbert
221,Giselmund
222,Gisila
223,Gisilbert
224,Gisilfrid
225,Gislenus
226,Gislin
227,Gismund
228,Goda 1
229,Godabert
230,Godefrid
231,Godehard
232,Godeliva
233,Godescalc
234,Goteleib
235,Gozzo
236,Grimhilt
237,Grimwald
238,Gumarich
239,Gunda
240,Gundahar
241,Gundhram
242,Gundisalvus
243,Hadewidis
244,Hadewig
245,Hadubert
246,Hagano
247,Hailwic
248,Haimo
249,Hardman
250,Hardmod
251,Hardwic
252,Hardwin
253,Haribert
254,Hariman
255,Hariwald
256,Hariwini
257,Hartmut
258,Hartwig
259,Hartwin
260,Hasso
261,Heidrich
262,Heilfrid
263,Heilwig
264,Heimirich
265,Heinrich
266,Helewidis
267,Helmfrid
268,Helmo
269,Helmold
270,Helmut
271,Henricus
272,Herleva
273,Herman
274,Hermanus
275,Hilda
276,Hildebrand
277,Hildefons
278,Hildegard
279,Hildegund
280,Hilderic
281,Hildiberht
282,Hildigardis
283,Hildimar
284,Hilditrut
285,Hilperic
286,Hlothar
287,Hludolf
288,Hlūdwīg
289,Hludwig
290,Hraban
291,Hrambert
292,Hrodebert
293,Hroderich
294,Hrodger
295,Hrodland
296,Hrodohaidis
297,Hrodperht
298,Hrodulf
299,Hrolf
300,Hrotsuitha
301,Hruodnand
302,Hruodsuind
303,Hubert
304,Hubertus
305,Hughard
306,Hugo
307,Hugubert
308,Huguo
309,Hulderic
310,Humbert
311,Hunberht
312,Hunfrid
313,Ida
314,Idalia
315,Ima
316,Inga
317,Ingo
318,Ingomar
319,Ingram
320,Ingulf
321,Irma
322,Isa 3
