,0
0,Achilleas
1,Adam
2,Adamantia
3,Adamantios
4,Afroditi
5,Agamemnon
6,Agapi
7,Agapios
8,Agapitos
9,Agathi
10,Aglaia
11,Agni 2
12,Aikaterini
13,Aimilios
14,Akakios
15,Aleka
16,Alekos
17,Alex
18,Alexandra
19,Alexandros
20,Alexia
21,Alexis
22,Aliki
23,Alkiviadis
24,Alkmini
25,Amalia
26,Anargyros
27,Anastasia
28,Anastasios
29,Andreas
30,Andriana
31,Angela
32,Angeliki
33,Angelina
34,Angelos
35,Aniketos
36,Anna
37,Anthi
38,Anthoula
39,Antiopi
40,Antonia
41,Antonios
42,Antonis
43,Apollon
44,Apostolis
45,Apostolos
46,Areti
47,Argyris
48,Argyro
49,Aris 1
50,Aristeidis
51,Aristidis
52,Aristotelis
53,Artemis
54,Aspasia
55,Asterios
56,Athan
57,Athanasia
58,Athanasios
59,Athina
60,Avra
61,Babis
62,Chara
63,Charalambos
64,Charalampos
65,Charikleia
66,Chariklia
67,Charilaos
68,Charis
69,Christakis
70,Christina
71,Christodoulos
72,Christoforos
73,Christos 1
74,Christos 2
75,Chrysa
76,Chrysanthi
77,Chrysanthos
78,Chrysostomos
79,Chryssa
80,Costas
81,Dafni
82,Danai 1
83,Daniil
84,Dareia
85,Demetra
86,Demetrios
87,Demi
88,Despina
89,Despoina
90,Diamantina
91,Diamantis
92,Diamanto
93,Dimi
94,Dimitra
95,Dimitrios
96,Dimitris
97,Dimos
98,Dimosthenis
99,Diomidis
100,Dionysia
101,Dionysios
102,Domna
103,Dora
104,Dorotheos
105,Effimia
106,Effrosyni
107,Efpraxia
108,Efstathios
109,Efterpi
110,Efthalia
111,Efthimia
112,Efthimios
113,Efthymia
114,Efthymios
115,Eftychia
116,Eirini
117,Ekaterini
118,Eleftheria
119,Eleftherios
120,Elena
121,Eleni
122,Eleonora
123,Elias
124,Elisavet
125,Elli 1
126,Elpida
127,Emilia
128,Emilios
129,Emmanouil
130,Ermis
131,Eva
132,Evangelia
133,Evangelos
134,Evanthia
135,Evdokia
136,Evelina
137,Evgenia
138,Evgenios
139,Evi
140,Evridiki
141,Evripidis
142,Fevronia
143,Filippa
144,Filippos
145,Flora
146,Foteini
147,Fotini
148,Fotios
149,Fotis
150,Galini
151,Gavriil
152,Georgia
153,Georgios
154,Gerasimos
155,Gianis
156,Gianna
157,Giannis
158,Giorgia
159,Giorgos
160,Glykeria
161,Grigorios
162,Grigoris
163,Gus 2
164,Haris 2
165,Iakovos
166,Iason
167,Ignatios
168,Iliana
169,Ilias
170,Ioanna
171,Ioannis
172,Iosif
173,Iraklis
174,Irida
175,Irini
176,Iris
177,Iro
178,Isaak
179,Ismini
180,Kaiti
181,Kalliopi
182,Kallirroi
183,Karolos
184,Katerina
185,Katina
186,Keti 2
187,Kiki
188,Kleio
189,Kleoniki
190,Klio
191,Konstadina
192,Konstadinos
193,Konstantina
194,Konstantinos
195,Koralia
196,Korina
197,Kostakis
198,Kostas
199,Kostis
200,Kyriake
201,Kyriaki
202,Kyriakos
203,Kyveli
204,Lavrentios
205,Lazaros
206,Lefteris
207,Lena
208,Leon
209,Leonidas
210,Lia 1
211,Liza
212,Louiza
213,Loukas
214,Magda
215,Magdalini
216,Margarita
217,Maria
218,Marianna
219,Marianthi
220,Marietta
221,Marika
222,Marilena
223,Marina
224,Marinos
225,Marios
226,Markos
227,Martha
228,Matthaios
229,Mattheos
230,Melina
231,Melpomeni
232,Menelaos
233,Meri 2
234,Meropi
235,Michaela
236,Michail
237,Michalis
238,Mihail
239,Mihalis
240,Myrto
241,Nana 1
242,Natalia
243,Natasa
244,Nefeli
245,Nektaria
246,Nektarios
247,Neofytos
248,Nicolaos
249,Nik
250,Niki 1
251,Nikol
252,Nikolaos
253,Nikolas
254,Nikoleta
255,Nikoletta
256,Nikos
257,Nomiki
258,Olga
259,Olympia
260,Omiros
261,Orestis
262,Orfeas
263,Panagiota
264,Panagiotakis
265,Panagiotis
266,Panayiotis
267,Panos
268,Pantelis
269,Paraskevas
270,Paraskevi
271,Paraskevoula
272,Paschalis
273,Pavlina
274,Pavlos
275,Pelagia
276,Periklis
277,Persefoni
278,Petros
279,Petroula
280,Pinelopi
281,Platon
282,Polina
283,Polyxeni
284,Prokopios
285,Prokopis
286,Rafail
287,Sara
288,Savvas
289,Selini
290,Serafeim
291,Serafim
292,Silas
293,Smaragda
