,0
0,Abraham
1,Achinoam
2,Adam
3,Adara
4,Adi 1
5,Adina 1
6,Adir
7,Adva
8,Agam
9,Aharon
10,Ahava
11,Ahuva
12,Akiba
13,Akiva
14,Aliya 2
15,Aliyah 2
16,Aliza
17,Alma 2
18,Almog
19,Alon 1
20,Alona
21,Ami 4
22,Amichai
23,Amir 2
24,Amira 2
25,Amit 2
26,Amitai
27,Amnon
28,Amos
29,Amram
30,Anan 2
31,Anat 2
32,Ari 1
33,Arie 2
34,Arieh
35,Ariel
36,Arik
37,Aryeh
38,Asa
39,Asaf
40,Asher
41,Atalia
42,Atara
43,Atarah
44,Avi
45,Avia
46,Avidan
47,Aviel
48,Avigail
49,Avihu
50,Aviram
51,Avishag
52,Avishai
53,Avital
54,Aviv
55,Aviva
56,Aviya
57,Avner
58,Avraham
59,Avram
60,Ayal
61,Ayala
62,Ayelet
63,Ayla 1
64,Azaria
65,Barak 1
66,Baruch
67,Barukh
68,Bashe
69,Basia 2
70,Basya
71,Batel
72,Batsheva
73,Batya
74,Batyah
75,Beracha
76,Binyamin
77,Boaz
78,Bosmat
79,Bracha
80,Chaim
81,Chana
82,Chanah
83,Chava
84,Chaya
85,Chayim
86,Chayyim
87,Chen 2
88,Chesed
89,Dafna
90,Dalia 3
91,Dalit
92,Dalya
93,Dan 1
94,Dana 1
95,Daniel
96,Daniela
97,Danya 1
98,Dar
99,David
100,Dekel
101,Deror
102,Derorit
103,Devora
104,Devorah
105,Dikla
106,Diklah
107,Dor
108,Dori
109,Dorit 1
110,Doron
111,Dov
112,Dror
113,Drorit
114,Dvora
115,Dvorah
116,Edan
117,Eden
118,Efraim
119,Efrat
120,Ehud
121,Eiran
122,Eitan
123,Eithan
124,Ela 3
125,Elazar
126,Elchanan
127,Eli 1
128,Eli 2
129,Eliana 2
130,Eliav
131,Eliezer
132,Elijah
133,Elior
134,Eliora
135,Elisheva
136,Eliya
137,Eliyahu
138,Elkan
139,Elke 2
140,Elon
141,Ephraim
142,Erez
143,Ester
144,Eviatar
145,Evron
146,Evyatar
147,Eyal
148,Eytan
149,Ezra
150,Gai
151,Gal 1
152,Gali
153,Galia
154,Galit
155,Gavriel
156,Gefen
157,Geula
158,Gideon
159,Gidon
160,Gil 3
161,Gilad
162,Gilah
163,Gili
164,Guy 2
165,Hadar
166,Hadas
167,Hadasa
168,Hadassah
169,Hagit
170,Haim
171,Hallel
172,Hanna 1
173,Hannah
174,Harel
175,Hava
176,Hayim
177,Hayyim
178,Hebel
179,Hed
