,0
0,Ábel
1,Abigél
2,Ábrahám
3,Ádám
4,Adél
5,Adolf
6,Adorján
7,Adrián
8,Adrienn
9,Ági
10,Ágnes
11,Ágoston
12,Ágota
13,Ákos
14,Alajos
15,Albert
16,Alex
17,Alexa
18,Alexander
19,Alexandra
20,Alfonz
21,Alfréd
22,Alida
23,Alíz
24,Aliz
25,Álmos
26,Amália
27,Amanda
28,Ambrus
29,Anasztáz
30,Anasztázia
31,Andor 2
32,András
33,Andrea 2
34,Andris
35,Anett
36,Angéla
37,Angelika
38,Angyalka
39,Anikó
40,Anita 1
41,Anna
42,Annamária
43,Antal
44,Antónia
45,Aranka
46,Arisztid
47,Ármin
48,Áron
49,Árpád
50,Artúr
51,Attila
52,Aurél
53,Aurélia
54,Balázs
55,Bálint
56,Bandi
57,Barbara
58,Barna
59,Barnabás
60,Barta
61,Bartal
62,Bea
63,Beáta
64,Beatrix
65,Béla
66,Bence
67,Bendegúz
68,Benedek
69,Benett
70,Benjámin
71,Bernadett
72,Bernát
73,Berta
74,Bertalan
75,Bertók
76,Bettina
77,Bianka
78,Bíborka
79,Blanka
80,Boglárka
81,Boldizsár
82,Bonifác
83,Borbála
84,Boróka
85,Botond
86,Bözsi
87,Brigitta
88,Bulcsú
89,Cecília
90,Cili
91,Cintia
92,Csaba
93,Csanád
94,Csenge
95,Csilla
96,Csongor
97,Dalma
98,Dani 2
99,Dániel
100,Daniella
101,Dávid
102,Délia
103,Demeter 2
104,Dénes
105,Dezső
106,Diána
107,Dominik
108,Dominika
109,Domonkos
110,Dömötör
111,Donát
112,Dóra
113,Dorina 2
114,Dorka
115,Dorottya
116,Dzsenifer
117,Dzsesszika
118,Ede
119,Edina
120,Edit
121,Eduárd
122,Edvárd
123,Edvin
124,Elek
125,Elemér
126,Eleonóra
127,Éliás
128,Eliza
129,Elizabet
130,Ella 2
131,Elvira
132,Elza
133,Emánuel
134,Emese
135,Emil
136,Emili 2
137,Emília
138,Emma
139,Emőke
140,Endre 1
141,Enikő
142,Erik
143,Erika
144,Ernő
145,Ervin
146,Erzsébet
147,Erzsi
148,Eszter
149,Eszti
150,Etel
151,Etele
152,Etelka
153,Eufrozina
154,Éva
155,Evelin
156,Évike
157,Fábián
158,Fabó
159,Fanni
160,Felícia
161,Felicitás
162,Félix
163,Ferdinánd
164,Ferenc
165,Feri
166,Ferkó
167,Flóra
168,Flórián
169,Franciska
170,Frigyes
171,Fruzsina
172,Fülöp
173,Gabi
174,Gábor
175,Gábriel
176,Gabriella
177,Gál
178,Gáspár
179,Gazsi
180,Gellért
181,Georgina
182,Gergely
183,Gergő
184,Gertrúd
185,Géza
186,Gitta
187,Gizella
188,Gizi
189,Glória
190,Gréta
191,Gusztáv
192,Gyöngyi
193,Gyöngyvér
194,György
195,Györgyi
196,Györgyike
197,Győző
198,Gyula
199,Gyuri
200,Hajna
201,Hajnal
202,Hajnalka
203,Hajni
204,Hanga
205,Hanna 1
206,Hanna 2
207,Hédi 1
208,Hedvig
209,Heléna
210,Helga
211,Henriett
212,Henrietta
213,Henrik
214,Hermina
215,Hilda
216,Hunor
217,Ibolya
218,Ida
219,Ignác
220,Ildi
221,Ildikó
222,Ildó
223,Ili
224,Ilike
225,Ilka
226,Illés
227,Ilona
228,Ilonka
229,Imre
230,Irén
231,Irma
232,István
233,Iván
234,Ivett
235,Izabella
236,Izidóra
237,Izolda
238,Izsák
239,Jácint
240,Jakab
241,Jákob
242,Jancsi
243,Jani
244,Janka
245,János
246,Jázmin
247,Jenci
248,Jenő
249,Johanna
250,Jolán
251,Jolánka
252,Jónás
253,Jonatán
254,Jóska
255,Jozefa
256,József
257,Józsi
258,Józsua
259,Judit
260,Juli
261,Júlia
262,Julianna
263,Juliska
264,Jusztina
265,Kajetán
266,Kálmán
267,Kamilla
268,Karcsi
269,Karola
270,Karolina
271,Károly
272,Kata
273,Katalin
274,Katalinka
275,Kati
276,Katica
277,Katinka
278,Kató
279,Kázmér
280,Kelemen
281,Kende
282,Kincső
283,Kinga
284,Kíra
285,Kitti
286,Klára
287,Klaudia
288,Klotild
289,Kolos
290,Konrád
291,Konstantin
292,Koppány
293,Kornél
294,Kornélia
295,Kristóf
296,Krisztián
297,Krisztina
298,Krisztofer
299,Laci 1
300,Lajos
301,Lara 1
302,László
303,Laura
304,Lázár
305,Lea
306,Léna
307,Lénárd
308,Letícia
309,Levente
310,Lídia
311,Lili
312,Liliána
313,Lilien
314,Lilla
315,Linda
316,Linett
317,Lívia
318,Loránd
319,Lóránt
320,Lőrinc
321,Lotti
322,Luca 2
323,Lúcia
324,Lujza
325,Lukács
326,Magda
327,Magdaléna
328,Magdi 1
329,Magdolna
330,Maja 1
331,Maja 2
332,Mara 2
333,Marcell
334,Margaréta
335,Margit
336,Mari 1
337,Mária
338,Marián
339,Mariann
340,Marianna
341,Marica
342,Marietta
343,Marika
344,Mariska
345,Márk
346,Márta
347,Martin
348,Martina
349,Márton
350,Mártuska
351,Máté
352,Matild
353,Mátyás
354,Melánia
355,Melinda
356,Melissza
357,Mercédesz
358,Mihály
359,Miklós
360,Miksa
361,Milán
362,Miléna
363,Míra
364,Misi
365,Mónika
366,Mór 2
367,Móric
368,Mózes
369,Nándor
370,Natália
371,Nelli
372,Nikolasz
373,Nikolett
374,Nikoletta
375,Nimród
376,Noé
377,Noémi
378,Nolen
379,Nóra
380,Norbert
381,Odett
382,Ödi
383,Ödön
384,Olga
385,Olimpia
386,Olivér
387,Olívia
388,Orbán
389,Orsolya
390,Oszkár
391,Ottó
392,Pál
393,Panka
394,Panna
395,Panni
396,Patrícia
397,Patrik
398,Paula
399,Péter
400,Peti
401,Petra
402,Petronella
403,Piri
404,Piroska
405,Pista
406,Pisti
407,Rafael
408,Ráhel
409,Rajmund
410,Ramóna
411,Rebeka
412,Regina
413,Réka
414,Renáta
415,Rezső
416,Richárd
417,Rikárdó
418,Rita
419,Róbert
420,Robi
421,Roland
422,Román
423,Romána
424,Róza
425,Rozália
426,Rozina
427,Rózsa
428,Rózsi
429,Rudi
430,Rudolf
431,Salamon
432,Samu
433,Sámuel
434,Sándor
435,Sanyi
436,Sára
437,Sári
438,Sárika
439,Sarolt
440,Sarolta
441,Sebestyén
442,Simon 1
443,Soma
444,Stefánia
445,Szabina
446,Szabolcs
447,Szandra
448,Szebasztián
449,Szilárd
450,Szilveszter
451,Szilvia
452,Szimonetta
453,Szofi
454,Szófia
455,Szonja
456,Tamara
457,Tamás
458,Teca
459,Tekla
460,Teodóra
461,Teréz
462,Terézia
463,Tibor
464,Tiborc
465,Tímea
466,Tivadar
467,Tódor
468,Tomi
469,Tóni
470,Tünde
471,Tündér
472,Valéria
473,Vanda
474,Vanessza
475,Vencel
476,Vendel
477,Vera 1
478,Veronika
479,Vid
480,Vida 1
481,Viktor
482,Viktória
483,Vili
484,Vilma
485,Vilmos
486,Vince
487,Viola
488,Violetta
489,Virág
490,Vivien 2
491,Zalán
492,Zente
493,Zétény
494,Zita 2
495,Zoé
496,Zoltán
497,Zsanett
498,Zsazsa
499,Zselyke
500,Zsiga
501,Zsigmond
502,Zsófia
503,Zsófika
504,Zsóka
505,Zsolt
506,Zsombor
507,Zsuzsa
508,Zsuzsanna
509,Zsuzsi
