,0
0,Agnar
1,Agnes
2,Áki
3,Albert
4,Alda 2
5,Alex
6,Alexander
7,Alexandra
8,Andrea 2
9,Andrés
10,Anna
11,Anton
12,Ari 2
13,Ármann
14,Arnar
15,Arnbjörg
16,Árni
17,Arnór
18,Arnþór
19,Aron
20,Ása
21,Ásbjörn
22,Ásdís
23,Ásgeir
24,Áslaug
25,Ásmundur
26,Ásta
27,Ástríður
28,Aðalbjörg
29,Aðalsteinn
30,Atli
31,Auður
32,Baldur
33,Benedikt
34,Benjamín
35,Bergljót
36,Birgir
37,Birgitta
38,Birkir
39,Birta
40,Bjarki
41,Bjarni
42,Bjartur
43,Björg
44,Björk
45,Björn
46,Borghildur
47,Bragi
48,Brynhildur
49,Brynja
50,Brynjar
51,Dagmar
52,Dagný
53,Dagrún
54,Dagur
55,Daníel
56,Davíð
57,Dóra
58,Edda 2
59,Egill
60,Einar
61,Eir
62,Eiríkur
63,Elfa
64,Elías
65,Elísabet
66,Elsa
67,Elva 2
68,Elvar
69,Embla
70,Emil
71,Emilía
72,Emma
73,Erlendur
74,Erlingur
75,Erna 2
76,Ester
77,Eva
78,Eydís
79,Eysteinn
80,Eyvindur
81,Fannar
82,Finnur
83,Freyja
84,Freyr
85,Fríða
86,Friðrik
87,Friðrika
88,Geir
89,Georg
90,Gréta
91,Gróa
92,Gunnar
93,Gunnhildur
94,Guðlaug
95,Guðmundur
96,Guðni
97,Guðríður
98,Guðrún
99,Gyða
100,Hákon
101,Hálfdan
102,Hallbjörn
103,Halldór
104,Halldóra
105,Hanna 1
106,Hannes
107,Haraldur
108,Heimir
109,Heiðrún
110,Hekla
111,Helena
112,Helga
113,Helgi
114,Hildigunnur
115,Hildur
116,Hilmar
117,Hinrik
118,Hjálmar
119,Hjördís
120,Hjörtur
121,Hlíf
122,Hlynur
123,Hólmfríður
124,Hrafn
125,Hrafnhildur
126,Hrönn
127,Hulda 1
128,Indriði
129,Inga
130,Ingi
131,Ingibjörg
132,Ingunn
133,Ingvar
134,Íris
135,Ísabella
136,Ísak
137,Iðunn
138,Jakob
139,Jenný
140,Jens
141,Jóhann
142,Jóhanna
143,Jóhannes
144,Jökull
145,Jón
146,Jóna
147,Jónas
148,Jónatan
149,Jósef
150,Karen 1
151,Karl
152,Katla
153,Katrín
154,Klara
155,Kristín
156,Kristján
157,Kristjana
158,Kristófer
159,Lára
160,Lárus
161,Leifur
162,Lilja
163,Linda
164,Lúðvík
165,Mæja
166,Magnús
167,Margrét
168,María
169,Marta
170,Matthías
171,Nanna 1
172,Njála
173,Njáll
174,Oddný
175,Ólafur
176,Olga
177,Ólöf
178,Ölvir
179,Óskar
180,Óðinn
181,Ottó
182,Pála
183,Páll
184,Pétur
185,Ragna
186,Ragnar
187,Ragnheiður
188,Ragnhildur
189,Rakel
190,Rebekka
191,Regína
192,Róbert
193,Rós
194,Rósa
195,Rúna
196,Rúnar
197,Rut
198,Saga
199,Salka
200,Sandra
201,Sara
202,Selma 1
203,Sif
204,Sigmundur
205,Signý
206,Sigrún
207,Sigurður
208,Sindri
209,Snædís
210,Snorri
211,Soffía
212,Sóldís
213,Sóley
214,Sólveig
215,Sonja
216,Stefán
217,Steingrímur
218,Steinn
219,Steinunn
220,Svana
221,Svanhildur
222,Sveinn
223,Sverrir
224,Theódóra
225,Þór
226,Þóra
227,Þórarinn
228,Þorbjörg
229,Þorbjörn
230,Þórdís
231,Þórhildur
232,Þórir
233,Þorsteinn
234,Þórunn
235,Þrúður
236,Tómas
237,Tryggvi
238,Úlfur
239,Unnur
240,Valdís
241,Vigdís
242,Víkingur
243,Viktor
244,Vilhjálmur
245,Víðir
246,Ylfa
