,0
0,Abdul
1,Abdullah
2,Adi 2
3,Aditya
4,Agung
5,Agus
6,Ahmad
7,Aisyah
8,Akbar
9,Akhmad
10,Ali 1
11,Alya 1
12,Aminah 1
13,Amir 1
14,Anisa
15,Annisa
16,Anwar
17,Arif
18,Asih
19,Bachtiar
20,Bagus
21,Bambang
22,Batari
23,Bima
24,Buana
25,Budi
26,Bulan
27,Burhan
28,Burhanuddin
29,Cahaya
30,Cahya
31,Cinta
32,Citra
33,Danial
34,Darma
35,Daud
36,Dewi 2
37,Dian
38,Dwi
39,Edi 2
40,Eka 1
41,Faisal
42,Fatimah
43,Firdaus
44,Guntur
45,Hadi
46,Hadijah
47,Halimah
48,Hamidah
49,Harta
50,Harun
51,Hasan
52,Hidayat
53,Ibrahim
54,Idris 1
55,Ilham
56,Imam
57,Iman
58,Imran
59,Indah
60,Intan
61,Irfan
62,Iskandar
63,Ismail
64,Jamaluddin
65,Jamilah
66,Jusuf
67,Kasih
68,Krisna
69,Kusuma
70,Latifah
71,Lestari
72,Lutfi
73,Mahmud
74,Maimunah
75,Mansur
76,Mawar
77,Mega
78,Melati
79,Mohamad
80,Muhamad
81,Muhammad
82,Muslim
83,Nirmala
84,Nur
85,Nurul
86,Purnama
87,Putra
88,Putri
89,Rahma
90,Rahman
91,Raja 2
92,Ratna
93,Ratu
94,Ridwan
95,Ruslan
96,Rustam
97,Said
98,Saiful
99,Sari 2
100,Setiawan
101,Sidik
102,Siti
103,Sitti
104,Slamet
105,Sri
106,Sulaiman
107,Surya
108,Susila
109,Taufik
110,Tirta
111,Tirto
112,Tri
113,Umar
114,Usman
115,Vina
116,Wahyu
117,Wangi
118,Wati
119,Widya
120,Wira
121,Yohanes
122,Yuda
123,Yuliana
124,Yusuf
125,Zakaria
126,Zulfikar
