,0
0,Abbondio
1,Abele
2,Abramo
3,Achille
4,Ada 1
5,Adalberto
6,Adamo
7,Addolorata
8,Adelaide
9,Adelardo
10,Adele
11,Adelina
12,Adelma
13,Adelmo
14,Ademaro
15,Adolfo
16,Adone
17,Adriana
18,Adriano
19,Afra 1
20,Agapito
21,Agata
22,Agatino
23,Agnese
24,Agostina
25,Agostino
26,Agrippina
27,Alba 1
28,Albano
29,Alberico
30,Alberta
31,Albertina
32,Alberto
33,Albina
34,Albino
35,Alcide
36,Alda 1
37,Aldo
38,Ale 1
39,Alessa
40,Alessandra
41,Alessandro
42,Alessia
43,Alessio
44,Alfeo
45,Alfio
46,Alfonsina
47,Alfonso
48,Alfreda
49,Alfredo
50,Alice
51,Alina
52,Allegra
53,Alma 1
54,Aloisio
55,Alvaro
56,Alvise
57,Amadeo
58,Amalia
59,Amanda
60,Amaranta
61,Amato
62,Amatore
63,Ambra
64,Ambrogino
65,Ambrogio
66,Amedea
67,Amedeo
68,Amelia
69,Amerigo
70,Amilcare
71,Amleto
72,Amore
73,Ampelio
74,Anacleto
75,Anastasia
76,Anastasio
77,Andrea 1
78,Andreina
79,Angela
80,Angelica
81,Angelina
82,Angelino
83,Angelo
84,Angiola
85,Angiolo
86,Aniello
87,Anna
88,Annabella
89,Annachiara
90,Annalisa
91,Anna Maria
92,Annamaria
93,Annetta
94,Annibale
95,Annunciata
96,Annunziata
97,Annunziato
98,Ansaldo
99,Anselma
100,Anselmo
101,Antelmo
102,Antioco
103,Antonella
104,Antonello
105,Antonia
106,Antonietta
107,Antonina
108,Antonino
109,Antonio
110,Antonio Pio
111,Apollonia
112,Arcangelo
113,Ardito
114,Arduino
115,Arianna
116,Aristide
117,Armando
118,Armida
119,Arnaldo
120,Arnoldo
121,Arnolfo
122,Aroldo
123,Aronne
124,Arrigo
125,Arsenio
126,Artemio
127,Arturo
128,Ascanio
129,Asia 1
130,Assunta
131,Atanasio
132,Atena
133,Attilio
134,Augusta
135,Augusto
136,Aura
137,Aurelia
138,Aureliana
139,Aureliano
140,Aurelio
141,Aurora
142,Ave
143,Azzurra
144,Balbina
145,Balbino
146,Baldassare
147,Baldo
148,Baldovino
149,Barbara
150,Barnaba
151,Bartolo
152,Bartolomea
153,Bartolomeo
154,Basilio
155,Battista
156,Beatrice
157,Benedetta
158,Benedetto
159,Beniamino
160,Benigna
161,Benigno
162,Benito
163,Benvenuto
164,Beppe
165,Berardo
166,Berenice
167,Bernardetta
168,Bernardina
169,Bernardino
170,Bernardo
171,Berta
172,Berto
173,Bertoldo
174,Bertrando
175,Bettina
176,Bettino
177,Biaggio
178,Biagino
179,Biagio
180,Bianca
181,Biancamaria
182,Bibiana
183,Bice
184,Bonaventura
185,Bonifacio
186,Brigida
187,Bruna
188,Brunella
189,Brunello
190,Brunilda
191,Bruno
192,Caio
193,Callisto 1
194,Calogera
195,Calogero
196,Camilla
197,Camillo
198,Candido
199,Carla
200,Carlo
201,Carlotta
202,Carmela
203,Carmelo
204,Carmen
205,Carmina
206,Carmine
207,Carola
208,Carolina
209,Casimiro
210,Cassio
211,Catello
212,Caterina
213,Catia
214,Cecilia
215,Cecilio
216,Celeste
217,Celestina
218,Celestino
219,Celino
220,Celio
221,Celso
222,Cesare
223,Cesarina
224,Cesarino
225,Chiara
226,Chiarina
227,Cinzia
228,Cipriano
229,Ciriaco
230,Cirillo
231,Cirino
232,Ciro
233,Clara
234,Claretta
235,Clarissa
236,Claudia
237,Claudio
238,Clelia
239,Clemente
240,Clementina
241,Cleto
242,Clio
243,Cloe
244,Clotilde
245,Colomba
246,Colombano
247,Colombina
248,Colombo
249,Concetta
250,Concettina
251,Concetto
252,Consalvo
253,Consolata
254,Corinna
255,Cornelia
256,Cornelio
257,Corona
258,Corradino
259,Corrado
260,Cosima
261,Cosimo
262,Cosma
263,Cosmo
264,Costantino
265,Costanza
266,Costanzo
267,Crescenzo
268,Cristiana
269,Cristiano
270,Cristina
271,Cristoforo
272,Crocetta
273,Crocifissa
274,Dafne
275,Dalila
276,Damiana
277,Damiano
278,Dania 1
279,Daniela
280,Daniele
281,Danila 2
282,Danilo
283,Dante
284,Daria
285,Dario
286,Davide
287,Debora
288,Delfina
289,Delia 1
290,Demetra
291,Demetrio
292,Desideria
293,Desiderio
294,Diana
295,Diego
296,Diletta
297,Dina 1
298,Dina 2
299,Dino
300,Diodato
301,Dionisia
302,Dionisio
303,Domenica
304,Domenico
305,Domitilla
306,Donata
307,Donatella
308,Donatello
309,Donato
310,Dora
311,Doretta
312,Doriano
313,Dorotea
314,Duilio
315,Durante
316,Edda 1
317,Edgardo
318,Edmonda
319,Edmondo
320,Edoardo
321,Edvige
322,Efisio
323,Egidio
324,Elda
325,Elena
326,Eleonora
327,Elettra
328,Eleuterio
329,Elia
330,Eliana 1
331,Eligio
332,Elio
333,Eliodoro
334,Elisa
335,Elisabetta
336,Eliseo
337,Elmo
338,Eloisa
339,Elpidio
340,Elsa
341,Elvia
342,Elvio
343,Elvira
344,Emanuela
345,Emanuele
346,Emidio
347,Emilia
348,Emiliana
349,Emiliano
350,Emilio
351,Emma
352,Emmanuele
353,Enea
354,Ennio
355,Enrica
356,Enrichetta
357,Enrico
358,Enzo
359,Epifanio
360,Eraldo
361,Erasmo
362,Ercole
363,Erica
364,Erika
365,Ermacora
366,Ermanno
367,Ermelinda
368,Ermenegilda
369,Ermenegildo
370,Ermes
371,Ermete
372,Erminia
373,Erminio
374,Ernesta
375,Ernestina
376,Ernesto
377,Ersilia
378,Ester
379,Ettore
380,Eufemia
381,Eugenia
382,Eugenio
383,Eulalia
384,Eusebio
385,Eustachio
386,Eustorgio
387,Eutimio
388,Eva
389,Evangelista
390,Evaristo
391,Evelina
392,Ezio
393,Fabia
394,Fabiana
395,Fabiano
396,Fabio
397,Fabiola
398,Fabrizia
399,Fabrizio
400,Fausta
401,Faustina
402,Faustino
403,Fausto
404,Febe
405,Fedele
406,Federica
407,Federico
408,Federigo
409,Fedora
410,Felice
411,Felicia
412,Feliciana
413,Feliciano
414,Felicita
415,Ferdinanda
416,Ferdinando
417,Fernanda
418,Ferruccio
419,Fiamma
420,Fiammetta
421,Filadelfo
422,Filiberto
423,Filippa
424,Filippo
425,Filomena
426,Fina
427,Fioralba
428,Fiore
429,Fiorella
430,Fiorenza
431,Fiorenzo
432,Fiorino
433,Firmino
434,Flaminia
435,Flaminio
436,Flavia
437,Flaviana
438,Flaviano
439,Flavio
440,Flora
441,Floriana
442,Floriano
443,Floro
444,Fortunata
445,Fortunato
446,Franca
447,Francesca
448,Francesca Pia
449,Francesco
450,Francesco Pio
451,Franco
452,Frediano
453,Fredo
454,Fulgenzio
455,Fulvia
456,Fulvio
457,Gabriele 1
458,Gabriella
459,Gaetana
460,Gaetano
461,Gaia
462,Galeazzo
463,Galilea
464,Galileo
465,Gallo
466,Gaspare
467,Gasparo
468,Gastone
469,Gavino
470,Gelsomina
471,Geltrude
472,Gemma
473,Generoso
474,Genesio
475,Gennarino
476,Gennaro
477,Genoveffa
478,Gerarda
479,Gerardo
480,Geremia
481,Germana
482,Germano
483,Gerolamo
484,Gervasio
485,Gessica
486,Gherardo
487,Gia
488,Giacinta
489,Giacinto
490,Giacobbe
491,Giacoma
492,Giacomina
493,Giacomo
494,Giada
495,Giambattista
496,Giampaolo
497,Giampiero
498,Gian
499,Giancarlo
500,Gianfranco
501,Gianluca
502,Gianluigi
503,Gianmarco
504,Gianmaria
505,Gianna
506,Gianni
507,Giannina
508,Giannino
509,Gianpaolo
510,Gianpiero
511,Gigi 2
512,Gilberta
513,Gilberto
514,Gilda
515,Gildo
516,Gina
517,Ginevra
518,Gino
519,Giò
520,Gioacchino
521,Gioachino
522,Gioconda
523,Gioele
524,Gioia
525,Giona
526,Gionata
527,Giordano
528,Giorgia
529,Giorgina
530,Giorgino
531,Giorgio
532,Giosetta
533,Giosuè
534,Giotto
535,Giovanbattista
536,Giovanna
537,Giovannetta
538,Giovanni
539,Giraldo
540,Girolamo
541,Gisella
542,Giuditta
543,Giulia
544,Giuliana
545,Giuliano
546,Giulietta
547,Giulio
548,Giuseppa
549,Giuseppe
550,Giuseppina
551,Giusi
552,Giustina
553,Giustino
554,Giusto
555,Giusy
556,Glauco
557,Gloria
558,Goffredo
559,Grazia
560,Graziana
561,Graziano
562,Graziella
563,Gregoria
564,Gregorio
565,Greta
566,Grimaldo
567,Gualberto
