,0
0,Adas
1,Adelė
2,Adolfas
3,Adomas
4,Agnė
5,Aidas
6,Aistė
7,Akvilė
8,Albertas
9,Albina
10,Albinas
11,Aldona
12,Aleksandra
13,Aleksandras
14,Alfonsas
15,Alfredas
16,Algimantas
17,Algirdas
18,Algis
19,Alma 1
20,Almantas
21,Alvydas
22,Amalija
23,Amelija
24,Anastasija
25,Andrius
26,Angelė
27,Antanas
28,Antanina
29,Anželika
30,Apolonija
31,Aras
32,Arnoldas
33,Aronas
34,Artūras
35,Arūnas
36,Arvydas
37,Audra 1
38,Augustas
39,Augustė
40,Augustinas
41,Aurelija
42,Aurelijus
43,Aušra
44,Austėja
45,Ąžuolas
46,Barbora
47,Benas
48,Benediktas
49,Benjaminas
50,Birutė
51,Bronislovas
52,Bronius
53,Daina
54,Daiva
55,Dalia 2
56,Danguolė
57,Danielius
58,Danutė
59,Darijus
60,Darius
61,Daumantas
62,Deimantė
63,Deividas
64,Diana
65,Domantas
66,Domantė
67,Domas
68,Dominykas
69,Donata
70,Donatas
71,Dorotėja
72,Dovilas
73,Dovilė
74,Dovydas
75,Edgaras
76,Edita
77,Edmundas
78,Eduardas
79,Edvardas
80,Edvinas
81,Egidijus
82,Eglė
83,Eimantas
84,Eimantė
85,Elena
86,Eleonora
87,Elija
88,Elijas
89,Elžbieta
90,Elzė
91,Ema 1
92,Emilija
93,Emilis
94,Erikas
95,Ernesta
96,Ernestas
97,Estera
98,Eugenija
99,Eugenijus
100,Evelina
101,Filomena
102,Gabija
103,Gabrielė
104,Gabrielius
105,Gediminas
106,Genė
107,Genovaitė
108,Gertrūda
109,Giedrė
110,Giedrius
111,Gintaras
112,Gintarė
113,Gintautas
114,Goda 2
115,Gražina
116,Greta
117,Gustas
118,Gustavas
119,Gvidas
120,Henrika
121,Henrikas
122,Herkus
123,Ieva
124,Iglė
125,Ignas
126,Ilja
127,Ilona
128,Inesa
129,Inga
130,Irena
131,Irma
132,Izabelė
133,Jadvyga
134,Janina
135,Jaroslavas
136,Jelena
137,Jokūbas
138,Jolanta
139,Jonas 1
140,Judita
141,Julija
142,Julius
143,Juozapas
144,Juozas
145,Jūratė
146,Jurgis
147,Jurgita
148,Justas
149,Justina
150,Justinas
151,Kajus
152,Kamilė
153,Karolina
154,Karolis
155,Kasparas
156,Katrė
157,Kazimiera
158,Kazimieras
159,Kęstas
160,Kęstutis
161,Konstantinas
162,Kornelija
163,Kostas
164,Kotryna
165,Kristijonas
166,Kristina
167,Kristupas
168,Laima
169,Laimutė
170,Larisa
171,Laura
172,Laurynas
173,Lėja
174,Leonardas
175,Leonas
176,Lidija
177,Liepa
178,Ligita
179,Lilija
180,Lilijana
181,Lina 2
182,Lina 4
183,Linas
184,Liucija
185,Liudvika
186,Liudvikas
187,Lukas
188,Luknė
189,Magdalena
190,Mantas
191,Mantvydas
192,Margarita
193,Marija
194,Marijona
195,Marijus
196,Marina
197,Marius
198,Markas
199,Martynas
200,Matas
201,Mečislovas
202,Melanija
203,Miglė
204,Milda
205,Mindaugas
206,Modestas
207,Monika
208,Morta
209,Motiejus
210,Mykolas
211,Natalija
212,Nijolė
213,Nina 1
214,Nojus
215,Odeta
216,Olivija
217,Ona 1
218,Patricija
219,Paulina
220,Paulius
221,Petras
222,Pijus
223,Pilypas
224,Pranas
225,Pranciška
226,Pranciškus
227,Raimondas
228,Ramūnas
229,Ramunė
230,Rasa
231,Regina
232,Renata
233,Renatas
234,Ričardas
235,Rimantas
236,Rimas
237,Rita
238,Robertas
239,Rokas
240,Rolandas
241,Romualda
242,Romualdas
243,Rozalija
244,Rožė
245,Rugilė
246,Rusnė
247,Rūta
248,Rytis
249,Sandra
250,Saulė
251,Saulius
252,Sergejus
253,Silvija
254,Simas
255,Simona
256,Simonas
257,Skaistė
258,Smiltė
259,Snieguolė
260,Sofija
261,Solveiga
262,Stanislova
263,Stanislovas
264,Stasė
265,Stasys
266,Stefanija
267,Steponas
268,Svajonė
269,Svetlana
270,Tadas
271,Tamara
272,Tatjana
273,Tautvydas
274,Teresa
275,Teresė
276,Titas
277,Tomas
278,Ugnė
279,Urbonas
280,Urtė
281,Vaclovas
282,Vaiva
283,Vakarė
284,Valdas
285,Valdemaras
286,Valentina
287,Valentinas
288,Valerija
289,Vanda
290,Vasilijus
291,Veronika
292,Vida 4
293,Vidas
294,Vidmantas
295,Viktoras
296,Viktorija
297,Vilhelmas
298,Vilhelmina
299,Vilma
300,Vilmantas
301,Vilmantė
302,Viltautas
303,Viltautė
304,Viltė
305,Vincas
306,Vincentas
307,Violeta
308,Virgilijus
309,Virginija
310,Virginijus
311,Visvaldas
312,Vita 1
313,Vitalija
314,Vitalijus
315,Vladas
316,Vladimiras
317,Voldemaras
318,Vydmantas
319,Vygantas
320,Vytautas
321,Vytautė
322,Žaneta
323,Zenonas
324,Zita 1
325,Zofija
326,Zoja
327,Zuzana
328,Žydrė
329,Žydrūnas
