,0
0,Altan 2
1,Altansarnai
2,Altantsetseg
3,Ankhbayar
4,Baatar
5,Batbayar
6,Bat-Erdene
7,Batu
8,Bilgüün
9,Bolormaa
10,Bolortsetseg
11,Bolortuyaa
12,Chingis
13,Davaa
14,Dölgöön
15,Enkh
16,Enkhjargal
17,Enkhtuya
18,Erdem 2
19,Erdene
20,Erdenechimeg
21,Ganbaatar
22,Ganbold
23,Gantulga
24,Ganzorig
25,Gerel
26,Gerelt
27,Jargal
28,Khulan
29,Maral
30,Mönkhtsetseg
31,Mönkhtuya
32,Munkhtsetseg
33,Naranbaatar
34,Narangerel
35,Narantsetseg
36,Nergüi
37,Odtsetseg
38,Otgonbayar
39,Oyunchimeg
40,Oyuun
41,Oyuunchimeg
42,Sarangerel
43,Sarantuya
44,Sarnai
45,Solongo
46,Temüülen
47,Tögöldör
48,Tömörbaatar
49,Tsetseg
50,Uyanga
51,Zaya
