,0
0,Aanakwad
1,Adawosgi
2,Adsila
3,Aenoheso
4,Ahtahkakoop
5,Ahuludegi
6,Ailen
7,Ajei
8,Akicita
9,Amaru
10,Amaruq
11,Ameohne'e
12,Ameyalli
13,Anangikwe
14,Anayeli
15,Animikii
16,Antiman
17,Antinanco
18,Apanii
19,Aputsiaq
20,Aqissiaq
21,Arnaq
22,Ashkii
23,Asiri
24,Atahualpa
25,Aucaman
26,Aviaaja
27,Aviâja
28,Awee
29,Awinita
30,Ayelen
31,Aylen
32,Ayün
33,Baishan
34,Balam
35,Bidziil
36,Bira
37,Calfuray
38,Catahecassa
39,Cauã
40,Cauan
41,Chaska
42,Cipactli
43,Citlali
44,Citlalli
45,Cochise
46,Cowessess
47,Cuauhtémoc
48,Cuauhtemoc
49,Dasoda-hae
50,Degataga
51,Dehgewanus
52,Dezba
53,Diindiisi
54,Dos-teh-seh
55,Ehecatl
56,Eluney
57,Ešeeva'e
58,Galilahi
59,Gian-nah-tah
60,Giiwedin
61,Giiwedinokwe
62,Gouyen
63,Goyaałé
64,Góyąń
65,Goyathlay
66,Guwisti
67,Ha-o-zinne
68,Hastiin
69,Hauzini
70,Hiawatha
71,Hokolesqua
72,Ho'otseoo'e
73,Iara
74,Iina 2
75,Inola
76,Inti
77,Inuk
78,Inunnguaq
79,Iqaluk
80,Iracema
81,Isapo-Muxika
82,Isi
83,Itzamna
84,Itzcoatl
85,Itzel
86,Ivaana
87,Ivaaq
88,Ivalu
89,Ixchel
90,Jaci 2
91,Jacira
92,Jeruti
93,Kaneonuskatew
94,Kaniehtiio
95,Kantuta
96,Kauã
97,Kauan
98,Kawacatoose
99,Kawisenhawe
100,Kenojuak
101,Killa
102,Kimimela
103,Kimmernaq
104,Kisecawchuck
105,Klah
106,Lalawethika
107,Lautaro
108,Lef-Traru
109,Licarayen
110,Lihuén
111,Liwen
112,Ma'evehpota'e
113,Mahihkan
114,Mahpiya
115,Maiara
116,Malik 2
117,Malinalli
118,Ma'ome
119,Maquinna
120,Ma'tano
121,Mekaisto
122,Meona'hane
123,Methoataske
124,Metztli
125,Meztli
126,Miigwan
127,Miillaaraq
128,Millaray
129,Minik
130,Miski
131,Mistawasis
132,Moacir
133,Moctezuma
134,Mokee'e
135,Montezuma
136,Motecuhzoma
137,Mupitsukupʉ
138,Muscowequan
139,Naasunnguaq
140,Nahuel
141,Naiche
142,Naira
143,Naja
144,Nanabah
145,Nanook
146,Nanuk
147,Nanuq
148,Nauja
149,Nawel
150,Nayeli
151,Nehuén
152,Neohne'e
153,Newen
154,Nicte
155,Nina 2
156,Nindaanis
157,Nîpisiy
158,Nita 2
159,Nivi
160,Niviarsiaq
161,Nizhóní
162,Nonhelema
163,Noodin
164,Notah
165,Nuka
166,Odeserundiye
167,Ohiyesa
168,Ojigkwanong
169,Onangwatgo
170,Pachacútec
171,Pachakutiq
172,Pahoevotona'e
173,Paninnguaq
174,Payne
175,Piloqutinnguaq
176,Pipaluk
177,Pitikwahanapiwiyin
178,Pitseolak
179,Pitsiulaaq
180,Pittiulaaq
181,Pocahontas
182,Potsʉnakwahipʉ
183,Qillaq
184,Qinnuajuaq
185,Quanah
186,Quetzalli
187,Quidel
188,Quispe
189,Rayen
190,Sacagawea
191,Sacnicte
192,Sacnite
193,Salik
194,Sayen
195,Sequoyah
196,Sganyodaiyo
197,Shandiin
198,Shenandoah
199,Shikoba
200,Siqiniq
201,Sissinnguaq
202,Skenandoa
203,Sons-ee-ah-ray
204,Tagwanibisan
205,Tahlako
206,Tamya
207,Taqqiq
208,Tarqik
209,Tashina
210,Tasunka
211,Tatanka
212,Tayanita
213,Tecumseh
214,Tekakwitha
215,Tenskwatawa
216,Tessouat
217,Tiriaq
218,Tlalli
219,Tlaloc
220,Tonalli
221,Tonatiuh
222,Topʉsana
223,Tosahwi
224,Tʉhʉyakwahipʉ
225,Tulugaq
226,Tupaarnaq
227,Túpac
228,Tupaq
229,Tuta
230,Ubirajara
231,Uiara
232,Ujarak
233,Ujaraq
234,Ukaleq
235,Ulloriaq
236,Urpi
237,Vanaheo'o
238,Ve'keseha'e
239,Ve'keseheveho
240,Voestaa'e
241,Vonahe'e
242,Wahunsenacawh
243,Walela
244,Waman
245,Wambdi
246,Wambli
247,Wâpanacâhkos
248,Wapasha
249,Wawatam
250,Wayna
251,Wayra
252,Wickaninnish
253,Willka
254,Winona
255,Xiadani
256,Xitlalli
257,Xóchilt
258,Xochiquetzal
259,Xóchitl
260,Xochitl
261,Xquenda
262,Yara 2
263,Yatzil
264,Yaxkin
265,Yeruti
266,Yolotl
267,Yolotli
268,Yolotzin
269,Yoloxochitl
270,Yonaguska
271,Ysapy
272,Yuraq
273,Zazil
274,Zeltzin
275,Zitkala
276,Zyanya
