,0
0,Adad
1,An 2
2,Anat 1
3,Anath 2
4,Anatu
5,Anu 2
6,Asherah
7,'Ashtart
8,'Ashtoret
9,Ashtoreth
10,Ashur
11,Astarte
12,Aya 3
13,Ba'al
14,Baal
15,Ba'al Hammon
16,Bau
17,Bel
18,Cybele
19,Dagan
20,Dagon
21,Dumuzi
22,Dumuzid
23,Ea 1
24,El
25,Elagabalus
26,Elil
27,Ellil
28,Enki
29,Enkidu
30,Enlil
31,Ereshkigal
32,Gilgamesh
33,Gula
34,Hadad
35,Ilu
36,Inanna
37,Iqbi-Damiq
38,Ishkur
39,Ishtar
40,Ki
41,Kittum
42,Kybele
43,Lilith
44,Lugalbanda
45,Marduk
46,Melqart
47,Mot
48,Nabu
49,Nanaea
50,Nanaia
51,Nanaya
52,Nanna 2
53,Ningal
54,Ninhursag
55,Ninisina
56,Ninlil
57,Ninsumun
58,Ninsun
59,Ninurta
60,Nuha 2
61,Pumay
62,Shalim
63,Shamash
64,Shams
65,Shulmanu
66,Sin
67,Su'en
68,Tammuz
69,Tanis
70,Tanit
71,Tanith
72,Tarhunna
73,Tarhunz
74,Teshub
75,Tiamat
76,Utu
77,Yam
78,Zababa
