,0
0,Ægir
1,Alf 1
2,Alfr
3,Alvis
4,Alvíss
5,Angrboða
6,Ask
7,Askr
8,Atli
9,Balder
10,Baldr
11,Borghild
12,Borghildr
13,Brage
14,Bragi
15,Brokkr
16,Brynhild
17,Brynhildr
18,Eir
19,Elli 3
20,Embla
21,Erna 2
22,Fenrir
23,Frea
24,Frey
25,Freya
26,Freyja
27,Freyr
28,Frigg
29,Gandalf
30,Gandálfr
31,Gefion
32,Gefjon
33,Gerd 2
34,Gerðr
35,Grid
36,Grímhildr
37,Gríðr
38,Gróa
39,Gudrun
40,Gunnar
41,Gunnarr
42,Gunnr
43,Guðrún
44,Heidrun
45,Heimdall
46,Heimdallr
47,Heimir
48,Heiðrún
49,Hel
50,Hildingr
51,Hildr
52,Hoder
53,Hǫðr
54,Hrǫnn
55,Huld
56,Hulda 1
57,Idun
58,Idunn
59,Iðunn
60,Jarl
61,Jörmungandr
62,Jǫrmungandr
63,Kára
64,Loke
65,Loki
66,Magni
67,Nanna 1
68,Njord
69,Njǫrðr
70,Oddrún
71,Oden
72,Odin
73,Ǫrvar
74,Orvar
75,Óðinn
76,Óttarr
77,Rán
78,Sága
79,Saga
80,Sif
81,Sigmund
82,Sigmundr
83,Signý
84,Sigrún
85,Sigurd
86,Sigurðr
87,Sindri
88,Siv
89,Skadi
90,Skaði
91,Skuld
92,Svanhild
93,Svanhildr
94,Thor
95,Þórr
96,Þrymr
97,Trym
98,Týr
99,Tyr
100,Urd
101,Urðr
102,Vanadís
103,Verdandi
104,Verðandi
105,Vidar
106,Víðarr
107,Völund
108,Vǫlundr
109,Yngvi
