,0
0,Aage
1,Aase
2,Abraham
3,Ada 1
4,Adam
5,Adolf
6,Adrian
7,Agathe
8,Åge
9,Agnar
10,Agnes
11,Agnete
12,Agnethe
13,Ågot
14,Aina 1
15,Aksel
16,Albert
17,Aleksander
18,Alex
19,Alexander
20,Alexandra
21,Alf 1
22,Alf 3
23,Alfhild
24,Alfred
25,Alice
26,Alma 1
27,Alv
28,Alva 1
29,Alvilde
30,Amalie
31,Amanda
32,Amund
33,Anders
34,Andor 1
35,Andrea 2
36,Andreas
37,Andrine
38,Anette
39,Anita 1
40,Anja
41,Anna
42,Annbjørg
43,Anne 1
44,Annette
45,Anniken
46,Ann-Kristin
47,Ansgar
48,Anton
49,Antonia
50,Are
51,Arild
52,Arnbjørg
53,Arnborg
54,Arne 1
55,Arnfinn
56,Arnstein
57,Arnt
58,Aron
59,Arthur
60,Arve
61,Arvid
62,Asbjørn
63,Åse
64,Asgeir
65,Åshild
66,Aslaug
67,Åsmund
68,Åsne
69,Asta
70,Astri
71,Astrid
72,Atle
73,Aud
74,Audhild
75,Audun
76,August
77,Aurora
78,Axel
79,Baard
80,Barbara
81,Bård
82,Beate
83,Bendik
84,Benedicte
85,Benedikte
86,Benjamin
87,Bente
88,Bergliot
89,Bergljot
90,Berit
91,Bernhard
92,Bernt
93,Birger
94,Birgit
95,Birgitta
96,Birgitte
97,Bjarne
98,Bjarte
99,Bjørg
100,Bjørn
101,Bjørnar
102,Bodil
103,Børge
104,Borghild
105,Brage
106,Brit
107,Brita
108,Britt
109,Britta
110,Brynhild
111,Brynjar
112,Camilla
113,Carina 2
114,Carl
115,Caroline
116,Casper
117,Cathrine
118,Catrine
119,Cecilia
120,Cecilie
121,Charlotte
122,Christel
123,Christen 1
124,Christian
125,Christin
126,Christina
127,Christine
128,Christoffer
129,Clemens
130,Dag
131,Dagfinn
132,Dagmar
133,Dagny
134,Dagrun
135,Dan 2
136,Dan 3
137,Daniel
138,David
139,Diana
140,Dina 1
141,Dorthea
142,Ea 2
143,Edith
144,Edvard
145,Edvin
146,Egil
147,Eilert
148,Einar
149,Eindride
150,Eir
151,Eira 2
152,Eirik
153,Eivind
154,Eldbjørg
155,Eli 3
156,Elias
157,Elin
158,Eline
159,Elisabet
160,Elisabeth
161,Elise
162,Ella 2
163,Ellen 1
164,Ellinor
165,Elna
166,Elsa
167,Else
168,Emanuel
169,Embla
170,Emil
171,Emilia
172,Emilie
173,Emma
174,Emrik
175,Endre 2
176,Enok
177,Erik
178,Erika
179,Erland
180,Erle 1
181,Erlend
182,Erling
183,Erna 1
184,Erna 2
185,Ernst
186,Esben
187,Eskil
188,Espen
189,Ester
190,Esther
191,Eva
192,Even
193,Evy
194,Felix
195,Filip
196,Filippa
197,Finn 2
198,Frank
199,Frans
200,Fred
201,Fredrik
202,Frida 2
203,Fridtjof
204,Fritjof
205,Frode
206,Frøya
207,Gabriel
208,Gaute
209,Geir
210,Georg
211,Gerd 2
212,Gerda 2
213,Gerhard
214,Gina
215,Gjermund
216,Godtfred
217,Gøran
218,Gregers
219,Grete
220,Grethe
221,Gro
222,Gry
223,Gudbrand
224,Gudmund
225,Gudrun
226,Gulbrand
227,Gunda
228,Gunder
229,Gunhild
230,Gunn
231,Gunnar
232,Gunne
233,Gunnhild
234,Gunnvor
235,Gunvald
236,Gunvor
237,Guro
238,Gustav
239,Gyda
240,Haakon
241,Håkon
242,Haldor
243,Halfdan
244,Halldor
245,Halle 1
246,Hallstein
247,Hallvard
248,Halvard
249,Halvdan
250,Halvor
251,Hanna 1
252,Hanna 2
253,Hanne 1
254,Hanne 2
255,Hans
256,Harald
257,Håvard
258,Hedda
259,Hedvig
260,Hege
261,Heidi
262,Helen
263,Helena
264,Helene
265,Helga
266,Helge
267,Helle 1
268,Hemming
269,Henning
270,Henny
271,Henriette
272,Henrik
273,Herleif
274,Herman
275,Hilda
276,Hilde
277,Hildegard
278,Hildegunn
279,Hildur
280,Hilmar
281,Hjalmar
282,Hjørdis
283,Holger
284,Hugo
285,Hulda 1
286,Iben
287,Ida
288,Idun
289,Idunn
290,Ina
291,Ine
292,Inga
293,Inge
294,Ingebjørg
295,Ingeborg
296,Inger
297,Ingolf
298,Ingrid
299,Ingunn
300,Ingvar
301,Ingvild
302,Irene
303,Iris
304,Isabella
305,Isak
306,Ivan
307,Ivar
308,Iver
309,Jacob
310,Jacobine
311,Jakob
312,Jan 1
313,Janne 2
314,Jannicke
315,Jannike
316,Jarl
317,Jarle
318,Jeanette
319,Jenny
320,Jens
321,Jesper
322,Jessica
323,Jo
324,Joakim
325,Joar
326,Johan
327,Johanna
328,Johanne
329,Johannes
330,John
331,Jon 1
332,Jonas 2
333,Jonatan
334,Jonathan
335,Jone 2
336,Jørg
337,Jørgen
338,Jørn
339,Jorun
340,Jorunn
341,Josef
342,Josefine
343,Jostein
344,Judit
345,Judith
346,Julia
347,Julie
348,Julius
349,Juni
350,Kai 1
351,Kaia
352,Kaj
353,Kaja 1
354,Kamilla
355,Kåre
356,Karen 1
357,Kari 1
358,Karin
359,Karina
360,Karine 2
361,Karl
362,Karla
363,Karolina
364,Karoline
365,Karsten
366,Kasper
367,Katarina
368,Katharina
369,Kathrine
370,Katja
371,Katrine
372,Kay 3
373,Kennet
374,Kenneth
375,Ketil
376,Kevin
377,Kim 2
378,Kine
379,Kirsten
380,Kjell
381,Kjellaug
382,Kjellfrid
383,Kjersti
384,Kjerstin
385,Kjetil
386,Klara
387,Klaus
388,Knut
389,Konrad
390,Kristen 1
391,Kristian
392,Kristin
393,Kristina
394,Kristine
395,Kristoffer
396,Kurt
397,Lage
398,Laila 2
399,Lars
400,Lasse
401,Laura
402,Laurits
403,Lauritz
404,Lea
405,Leif
406,Leiv
407,Lena
408,Lene
409,Lennart
410,Leo
411,Lill
412,Lillemor
413,Lilly
414,Lina 2
415,Linda
416,Line
417,Linn
418,Linnea
419,Linus
420,Lisa
421,Lisbet
422,Lisbeth
423,Lise
424,Liss
425,Liv 1
426,Live
427,Loke
428,Lorens
429,Lotte
430,Louise
431,Lovise
432,Lucas
433,Lucia
434,Ludvig
435,Lukas
436,Madelen
437,Magda
438,Magdalena
439,Magnar
440,Magne
441,Magnhild
442,Magnus
443,Mai 3
444,Maiken
445,Maj 2
446,Maja 1
447,Maja 2
448,Malene
449,Målfrid
450,Malin
451,Marcus
452,Maren
453,Margit
454,Margrete
455,Margrethe
456,Mari 1
457,Maria
458,Mariann
459,Marianne
460,Marie
461,Marina
462,Marit
463,Marita 2
464,Marius
465,Markus
466,Marte 1
467,Martha
468,Marthe
469,Martin
470,Martine
471,Mathea
472,Matheo
473,Mathias
474,Mathilde
475,Mats
476,Matteus
477,Mattis
478,Max
479,Maximilian
480,Merete
481,Merethe
482,Mette
483,Mia
484,Michael
