,0
0,Ada 1
1,Adam
2,Adela
3,Adelajda
4,Adolf
5,Adrian
6,Adriana
7,Adrianna
8,Agata
9,Agatka
10,Agnieszka
11,Alan
12,Albert
13,Albin
14,Albina
15,Aldona
16,Aleks
17,Aleksander
18,Aleksandra
19,Aleksy
20,Alfred
21,Alfreda
22,Alicja
23,Alina
24,Alojzy
25,Amadeusz
26,Ambroży
27,Amelia
28,Anastazja
29,Anastazy
30,Anatol
31,Andrzej
32,Andżelika
33,Aneta
34,Angelika
35,Ania
36,Aniela
37,Anielka
38,Anika 1
39,Anita 1
40,Anka
41,Anna
42,Antoni
43,Antonina
44,Apolinary
45,Apolonia
46,Arek
47,Ariadna
48,Ariel
49,Arkadiusz
50,Arnold
51,Aron
52,Artur
53,Asia 2
54,August
55,Augustyn
56,Augustyna
57,Aurelia
58,Aureliusz
59,Balbina
60,Barbara
61,Barnaba
62,Bartek
63,Bartłomiej
64,Bartosz
65,Basia 1
66,Bazyli
67,Beata
68,Beatrycze
69,Benedykt
70,Benedykta
71,Beniamin
72,Berenika
73,Bernadeta
74,Bernadetta
75,Bernard
76,Berta
77,Bianka
78,Blanka
79,Błażej
80,Bogdan
81,Bogdana
82,Bogna
83,Bogumił
84,Bogumiła
85,Bogusław
86,Bogusława
87,Bogusz
88,Bohdan
89,Bolek
90,Bolesław
91,Bolesława
92,Bonifacy
93,Borys
94,Bożena
95,Bożydar
96,Brajan
97,Bratumił
98,Bronisław
99,Bronisława
100,Bruno
101,Brygida
102,Cecylia
103,Celestyn
104,Celestyna
105,Celina
106,Cezary
107,Cibor
108,Cyprian
109,Cyryl
110,Czcibor
111,Czesław
112,Czesława
113,Dagmara
114,Damian
115,Daniel
116,Daniela
117,Danka
118,Danuta
119,Darek
120,Daria
121,Dariusz
122,Dawid
123,Diana
124,Dobrogost
125,Dobromił
126,Dobromiła
127,Dobrosław
128,Dobrosława
129,Dominik
130,Dominika
131,Donat
132,Donata
133,Dorota
134,Dosia
135,Dymitr
136,Dżesika
137,Edmund
138,Edward
139,Edyta
140,Ela 1
141,Eleonora
142,Eliasz
143,Eligia
144,Eligiusz
145,Eliza
146,Elwira
147,Elżbieta
148,Emil
149,Emilia
150,Emilian
151,Ernest
152,Erwin
153,Eryk
154,Eryka
155,Estera
156,Eugenia
157,Eugeniusz
158,Eulalia
159,Eunika
160,Eustachy
161,Ewa
162,Ewelina
163,Fabian
164,Faustyna
165,Felicja
166,Felicjan
167,Felicyta
168,Feliks
169,Ferdynand
170,Filip
171,Filipina
172,Florentyna
173,Florian
174,Franciszek
175,Franciszka
176,Fryderyk
177,Fryderyka
178,Gabriel
179,Gabriela
180,Gaja 1
181,Gaweł
182,Genowefa
183,Gerard
184,Gertruda
185,Gerwazy
186,Gniewko
187,Gniewomir
188,Gosia
189,Gracja
190,Gracjan
191,Gracjana
192,Grażyna
193,Greta
194,Grzegorz
195,Gustaw
196,Halina
197,Halinka
198,Hania 1
199,Hanna 1
200,Helena
201,Helenka
202,Henryk
203,Henryka
204,Hiacynt
205,Hiacynta
206,Hieronim
207,Hipolit
208,Honorata
209,Hubert
210,Ida
211,Idalia
212,Iga
213,Ignacja
214,Ignacy
215,Igor
216,Ilona
217,Inga
218,Irek 2
219,Irena
220,Ireneusz
221,Irenka
222,Irmina
223,Iwan
224,Iwo
225,Iwona
226,Iza
227,Izaak
228,Izabela
229,Izabella
230,Izolda
231,Izydor
232,Jacek
233,Jacenty
234,Jadwiga
235,Jadzia
236,Jaga
237,Jagienka
238,Jagna
239,Jagoda
240,Jagusia
241,Jakub
242,Jan 1
243,Janek
244,Janina
245,Janka
246,Janusz
247,Jarek
248,Jarogniew
249,Jaromir
250,Jaropełk
251,Jarosław
252,Jarosława
253,Jaśmina
254,Jędrzej
255,Jeremi
256,Jeremiasz
257,Jerzy
258,Joachim
259,Joanna
260,Joasia
261,Jola
262,Jolanta
263,Jonasz
264,Jonatan
265,Jowita
266,Jozafat
267,Józef
268,Józefa
269,Józefina
270,Judyta
271,Julek
272,Julia
273,Julian
274,Julianna
275,Julita
276,Juliusz
277,Jurek
278,Justyn
279,Justyna
280,Kacper
281,Kaja 2
282,Kajetan
283,Kalina
284,Kamil 2
285,Kamila
286,Kamilla
287,Karina
288,Karol 1
289,Karola
290,Karolina
291,Kasandra
292,Kasia
293,Kasjan
294,Katarzyna
295,Kazia
296,Kazik
297,Kazimiera
298,Kazimierz
299,Kewin
300,Kinga
301,Klara
302,Klaudia
303,Klaudiusz
304,Klemens
305,Klementyna
306,Klotylda
307,Kondrat
308,Konrad
309,Konstancja
310,Konstanty
311,Konstantyn
312,Kordian
313,Kornel
314,Kornelia
315,Korneliusz
316,Kosma
317,Krysia
318,Kryspin
319,Krystian
320,Krystiana
321,Krystyn
322,Krystyna
323,Krzesimir
324,Krzyś
325,Krzysiek
326,Krzysztof
327,Krzysztofa
328,Ksawery
329,Ksenia
330,Kuba
331,Kunegunda
332,Larysa
333,Laura
334,Lech
335,Lechosław
336,Lechosława
337,Lena
338,Leokadia
339,Leon
340,Leonard
341,Leopold
342,Lesław
343,Lesława
344,Leszek
345,Letycja
346,Lew 2
347,Lidia
348,Lidka
349,Liliana
350,Lilianna
351,Liwia
352,Longin
353,Longina
354,Lubomierz
355,Łucja
356,Łucjan
357,Lucjan
358,Lucjusz
359,Lucyna
360,Ludmiła
361,Ludwik
362,Ludwika
363,Luiza
364,Łukasz
365,Maciej
366,Magda
367,Magdalena
368,Maja 1
369,Maja 2
370,Maksym
371,Maksymilian
372,Małgorzata
373,Małgosia
374,Malina 2
375,Malwina
376,Manfred
377,Marcel
378,Marcela
379,Marceli
380,Marcelina
381,Marcin
382,Marcjanna
383,Marek
384,Maria
385,Marian 2
386,Marianna
387,Marietta
388,Marika
389,Mariola
390,Mariusz
391,Marlena
392,Marta
393,Martyna
394,Maryla
395,Maryna
396,Marysia
397,Marzanna 1
398,Marzena
399,Mateusz
400,Matylda
401,Maurycy
402,Melania
403,Metody
404,Michał
405,Michalina
406,Mieczysław
407,Mieczysława
408,Mieszko
409,Mikołaj
410,Milena
411,Milka 2
412,Miłogost
413,Miłosław
414,Miłosz
415,Mira 2
416,Mirek
417,Miriam
418,Mirka 1
419,Miron 1
420,Mirosław
421,Mirosława
422,Monika
423,Mścisław
424,Nadzieja
425,Narcyz
426,Natalia
427,Natalka
428,Natan
429,Natasza
430,Nela
431,Nikodem
432,Nikola 2
433,Nina 1
434,Noemi
435,Norbert
436,Oktawia
437,Oktawian
438,Oktawiusz
439,Ola 2
440,Olaf
441,Olek
442,Olga
443,Olgierd
444,Olimpia
445,Oliwer
446,Oliwia
447,Oliwier
448,Oskar
449,Otylia
450,Pati
451,Patka
452,Patrycja
453,Patryk
454,Paula
455,Paulina
456,Paweł
457,Pelagia
458,Piotr
459,Pola
460,Przemek
461,Przemko
462,Przemo
463,Przemysł
464,Przemysław
465,Radek
466,Radomił
467,Radomiła
468,Radosław
469,Radosława
470,Radzim
471,Rafał
472,Rajmund
473,Regina
474,Remigiusz
475,Renata
476,Renia
477,Robert
478,Roch
479,Roksana
480,Roland
481,Roman
482,Romana
483,Romuald
484,Romualda
485,Róża
486,Rozalia
487,Ruta
488,Ryszard
489,Sabina
490,Salomea
491,Samanta
492,Samuel
493,Sandra
494,Sara
495,Sebastian
496,Serafin
497,Sergiusz
498,Seweryn
499,Seweryna
500,Sława
501,Sławomir
502,Sławomira
503,Sobiesław
504,Sobiesława
505,Sonia
506,Stan 2
507,Stanisław
508,Stanisława
509,Stasia
510,Stefan
511,Stefania
512,Stefcia
513,Stefek
514,Sulisław
515,Świętopełk
516,Świętosław
517,Sybilla
518,Sylwester
519,Sylwia
520,Szczepan
521,Szczęsny
522,Szymon
523,Tadeusz
524,Tamara
525,Tatiana
526,Tekla
527,Teodor
528,Teodora
529,Teodozja
530,Teofil
531,Teofila
532,Teresa
533,Tobiasz
534,Tola 2
535,Tomasz
536,Tomek
537,Tosia
538,Tycjan
539,Tymek
540,Tymon
541,Tymoteusz
542,Tytus
543,Ula
544,Urban
545,Uriasz
546,Urszula
547,Wacław
548,Wacława
549,Waldek
550,Waldemar
551,Walenty
552,Walentyna
553,Waleria
554,Walerian
555,Walery
556,Walter
557,Wanda
558,Wanesa
559,Wanessa
560,Warcisław
561,Wawrzyniec
562,Wera
563,Weronika
564,Więcesław
565,Wielisław
566,Wiera
567,Wiesław
568,Wiesława
569,Wiktor
