,0
0,Abdias
1,Abel
2,Abílio
3,Abraão
4,Adalberto
5,Adão
6,Adelaide
7,Adelina
8,Adelma
9,Adelmo
10,Ademar
11,Ademir
12,Adriana
13,Adriano
14,Adriene
15,Afonso
16,Ágata
17,Agostinho
18,Águeda
19,Albano
20,Alberta
21,Albertina
22,Alberto
23,Albina
24,Albino
25,Alcides
26,Alda 1
27,Aldina 1
28,Aleixo
29,Alex
30,Alexandra
31,Alexandre
32,Alexandrina
33,Alfredo
34,Alice
35,Alícia
36,Aline
37,Alison 2
38,Alisson
39,Almir 1
40,Almiro
41,Aloísio
42,Altair
43,Álvaro
44,Amadeu
45,Amália
46,Amâncio
47,Amanda
48,Amando
49,Amaro
50,Ambrósio
51,Amélia
52,América
53,Américo
54,Amílcar
55,Amor
56,Ana
57,Anabela
58,Anacleto
59,Anastácia
60,André
61,Andréa
62,Andréia
63,Andreia
64,Andressa
65,Ângela
66,Angélica
67,Angelina
68,Angelino
69,Ângelo
70,Aníbal
71,Anita 1
72,Anselmo
73,Antelmo
74,Antónia
75,Antônia
76,Antonieta
77,António
78,Antônio
79,Aparecida
80,Apolónia
81,Apolônia
82,Ariana
83,Aristides
84,Armando
85,Arnaldo
86,Arsénio
87,Arsênio
88,Artur
89,Assunção
90,Atena
91,Atílio
92,Augusta
93,Augusto
94,Áurea
95,Aurélia
96,Aureliano
97,Aurélio
98,Aurora
99,Avelino
100,Balbina
101,Balbino
102,Balduíno
103,Bárbara
104,Bartolomeu
105,Beatriz
106,Belinha
107,Benedita
108,Benedito
109,Benício
110,Benigna
111,Benigno
112,Benjamim
113,Bento
114,Bernardino
115,Bernardo
116,Betânia
117,Bethânia
118,Bia
119,Boaventura
120,Bonifácio
121,Branca
122,Brás
123,Breno
124,Brígida
125,Bruna
126,Brunilda
127,Bruno
128,Caetana
129,Caetano
130,Caio
131,Calista
132,Calisto
133,Calixta
134,Calixto
135,Camila
136,Camilo
137,Cândida
138,Cândido
139,Carina 1
140,Carla
141,Carlinhos
142,Carlito
143,Carlitos
144,Carlos
145,Carlota
146,Carminho
147,Carmo
148,Carolina
149,Casimiro
150,Cássia
151,Cássio
152,Catarina
153,Cátia
154,Cecília
155,Cecílio
156,Celeste
157,Celestino
158,Célia
159,Celina
160,Célio
161,Celso
162,César
163,Cesária
164,Cesário
165,Cézar
166,Cezar
167,Cezário
168,Chica
169,Chico
170,Cila
171,Cíntia
172,Cipriano
173,Ciríaco
174,Cirilo
175,Ciro
176,Clara
177,Cláudia
178,Claudinho
179,Cláudio
180,Clemente
181,Clementina
182,Cleto
183,Cloé
184,Clotilde
185,Conceição
186,Constança
187,Constância
188,Constantino
189,Corina
190,Cornélio
191,Cosme
192,Crisóstomo
193,Cristiana
194,Cristiano
195,Cristina
196,Cristóvão
197,Cruz
198,Custódia
199,Custódio
200,Dado 1
201,Dalila
202,Damião
203,Dan 2
204,Daniel
205,Daniela
206,Danilo
207,Davi
208,David
209,Débora
210,Delfina
211,Délia
212,Demétrio
213,Dênis
214,Deodato
215,Desidéria
216,Desidério
217,Diana
218,Dimas
219,Dina 2
220,Diná
221,Dinis
222,Diniz
223,Diógenes
224,Diogo
225,Dionísia
226,Dionísio
227,Divina
228,Domingos
229,Domitila
230,Donato
231,Dora
232,Dores
233,Dóris
234,Dorotéia
235,Doroteia
236,Du
237,Duarte
238,Duda
239,Dudu
240,Dulce
241,Edgar
242,Edison
243,Edite
244,Edmundo
245,Edu
246,Eduarda
247,Eduardo
248,Edvaldo
249,Efigénia
250,Efigênia
251,Egídio
252,Elder
253,Eleutério
254,Eliana 1
255,Eliane
256,Elias
257,Eliel
258,Elisa
259,Elisabete
260,Eliseu
261,Eliza
262,Elizabete
263,Eloísa
264,Elpídio
265,Elsa
266,Elton
267,Elvira
268,Elza
269,Ema 1
270,Emanuel
271,Emanuela
272,Emília
273,Emiliana
274,Emiliano
275,Emílio
276,Enéas
277,Eneida
278,Erasmo
279,Ercília
280,Érica
281,Érico
282,Érika
283,Ermelinda
284,Ernestina
285,Ernesto
286,Esmeralda
287,Estefânia
288,Estela
289,Ester
290,Estevão
291,Etelvina
292,Euclides
293,Eufémia
294,Eufêmia
295,Eugénia
296,Eugênia
297,Eugénio
298,Eugênio
299,Eulália
300,Eusébio
301,Eustáquio
302,Eutímio
303,Eva
304,Evangelista
305,Evaristo
306,Ezequiel
307,Fábia
308,Fabiana
309,Fabiano
310,Fábio
311,Fabíola
312,Fabrício
313,Fátima
314,Faustina
315,Faustino
316,Fausto
317,Febe
318,Felícia
319,Feliciano
320,Felicidade
321,Felipe
322,Felipinho
323,Félix
324,Fernanda
325,Fernando
326,Fernão
327,Filipa
328,Filipe
329,Filomena
330,Firmino
331,Flávia
332,Flávio
333,Flor
334,Flora
335,Florência
336,Florêncio
337,Florinda
338,Floro
339,Fortunata
340,Fortunato
341,Francisca
342,Francisco
343,Fred
344,Frederica
345,Frederico
346,Fúlvio
347,Gabi
348,Gabriel
349,Gabriela
350,Galvão
351,Gaspar
352,Genoveva
353,Geovana
354,Geraldo
355,Germano
356,Gertrudes
357,Gervásio
358,Gil 1
359,Gilberto
360,Gilda
361,Giovana
362,Gisela
363,Gisele
364,Gláucia
365,Gláucio
366,Glauco
367,Glória
368,Godofredo
369,Gonçalo
370,Graça
371,Graciana
372,Graciano
373,Gracília
374,Gracinda
375,Gregório
376,Gualberto
377,Guálter
378,Gui
379,Guilherme
380,Guiomar
381,Gustavo
382,Haroldo
383,Heitor
384,Hélder
385,Helder
386,Helena
387,Helga
388,Hélia
389,Hélio
390,Heliodoro
391,Heloísa
392,Henrique
393,Herberto
394,Heriberto
395,Hermenegildo
396,Hermínia
