,0
0,Abram 2
1,Abrasha
2,Adam
3,Adrian
4,Aelita
5,Afanasiy
6,Afanasy
7,Afonya
8,Agafon
9,Agafya
10,Agata
11,Aglaya
12,Agnessa
13,Agnia
14,Agniya
15,Agrafena
16,Akilina
17,Akim
18,Aksinia
19,Aksinya
20,Akulina
21,Albert
22,Albina
23,Aleks
24,Aleksandr
25,Aleksandra
26,Aleksandrina
27,Aleksei
28,Aleksey
29,Alesya
30,Alevtina
31,Alex
32,Alexandr
33,Alexandra
34,Alexei
35,Alexey
36,Alexsandr
37,Alik
38,Alina
39,Aliona
40,Alisa
41,Alla
42,Allochka
43,Alya 2
44,Alyona
45,Alyonka
46,Alyosha
47,Amaliya
48,Ameliya
49,Amvrosiy
50,Anastas
51,Anastasia
52,Anastasiy
53,Anastasiya
54,Anatoli
55,Anatoliy
56,Anatoly
57,Andrei
58,Andrey
59,Anfisa
60,Angela
61,Angelina
62,Ania
63,Anisim
64,Anjelika
65,Anna
66,Annushka
67,Anton
68,Antonina
69,Anya
70,Anzhela
71,Anzhelika
72,Anzhelina
73,Apollinariya
74,Ardalion
75,Ariadna
76,Arina
77,Arisha
78,Aristarkh
79,Arkadi
80,Arkadiy
81,Arkady
82,Arkhip
83,Arseni
84,Arseniy
85,Arseny
86,Artem
87,Artemi
88,Artemiy
89,Artemy
90,Artur
91,Artyom
92,Assol
93,Asya 1
94,Avdey
95,Avdotya
96,Avenir
97,Avgust
98,Avgusta
99,Avksentiy
100,Avrora
101,Azaliya
102,Benedikt
103,Bogdan
104,Boris
105,Borislav
106,Borislava
107,Borya
108,Bronislav
109,Bronislava
110,Daniil
111,Danila 1
112,Daria
113,Darina 2
114,Dariy
115,Darya 1
116,Dasha
117,David
118,Demid
119,Demyan
120,Denis
121,Diana
122,Dima 2
123,Dimitri
124,Dimka
125,Dina 1
126,Diomid
127,Dmitri
128,Dmitrii
129,Dmitriy
130,Dmitry
131,Dominika
132,Dorofei
133,Dorofey
134,Dosifey
135,Dunya
136,Dunyasha
137,Eduard
138,Efrem
139,Ekaterina
140,Elena
141,Eleonora
142,Elizaveta
143,Elmira 3
144,Elvira
145,Emil
146,Emiliya
147,Emmanuil
148,Erast
149,Ermolai
150,Esfir
151,Eva
152,Evdokiya
153,Evelina
154,Evgeni
155,Evgenia
156,Evgeniy
157,Evgeniya
158,Evgeny
159,Evpraksiya
160,Faddei
161,Faddey
162,Faina
163,Fedor
164,Fedora
165,Fedot
166,Fedya
167,Feliks
168,Feodor
169,Feodora
170,Feodosiy
171,Feodosiya
172,Feofan
173,Feofil
174,Feofilakt
175,Ferapont
176,Filat
177,Filipp
178,Fima
179,Foka
180,Foma
181,Fyodor
182,Fyokla
183,Gala 1
184,Galina
185,Galya
186,Gavriil
187,Gena 2
188,Gennadi
189,Gennadiy
190,Gennadiya
191,Gennady
192,Genrikh
193,Genya
194,Georgiy
195,Georgy
196,Gerasim
197,German
198,Germogen
199,Glafira
200,Gleb
201,Glikeriya
202,Grigori
203,Grigorii
204,Grigoriy
205,Grigory
206,Grisha
207,Grusha
208,Ieronim
209,Ignat
210,Ignatiy
211,Igor
212,Ilariy
213,Ilia
214,Ilja
215,Illarion
216,Ilya
217,Inessa
218,Inga
219,Inna
220,Innokenti
221,Innokentiy
222,Innokenty
223,Ioann
224,Iolanta
225,Iona 2
226,Iosif
227,Iouri
228,Ipati
229,Ipatiy
230,Ippolit
231,Ira 2
232,Iraida
233,Irakliy
234,Irina
235,Irinei
236,Iriney
237,Irinushka
238,Isaak
239,Isay
240,Isidor
241,Ivan
242,Iya
243,Izolda
244,Jekaterina
