,0
0,Aarón
1,Abel
2,Abigaíl
3,Abilio
4,Abraham
5,Abrahán
6,Abril
7,Abundio
8,Ada 1
9,Adalberto
10,Adán
11,Adela
12,Adelaida
13,Adelardo
14,Adelia
15,Adelina
16,Adelita
17,Adolfito
18,Adolfo
19,Adonay
20,Adora
21,Adoración
22,Adrián
23,Adriana
24,África
25,Agapito
26,Ágata
27,Agripina
28,Águeda
29,Agustín
30,Agustina
31,Aída
32,Ainara
33,Ainoa
34,Aitana
35,Aitor
36,Alba 1
37,Albano
38,Alberta
39,Alberto
40,Albina
41,Albino
42,Alcides
43,Ale 1
44,Alejandra
45,Alejandro
46,Alejo
47,Álex
48,Alexandra
49,Alexia
50,Alexis
51,Alfonso
52,Alfredo
53,Alicia
54,Alina
55,Alma 1
56,Almudena
57,Alondra
58,Alonso
59,Altagracia
60,Álvaro
61,Amada
62,Amadeo
63,Amado
64,Amador
65,Amalia
66,Amancio
67,Amanda
68,Amando
69,Amaranta
70,Amarilis
71,Amaro
72,Amaya
73,Ámbar
74,Ambrosio
75,Amelia
76,América
77,Américo
78,Amílcar
79,Amor
80,Amparo
81,Ana
82,Anabel
83,Ana Belén
84,Anacleto
85,Anahí
86,Anaís
87,Ana Isabel
88,Ana María
89,Ana Sofía
90,Anastacia
91,Anastacio
92,Anastasia
93,Anastasio
94,Andrea 2
95,Andrés
96,Andrés Felipe
97,Ángel
98,Ángela
99,Ángeles
100,Angélica
101,Angelina
102,Angelino
103,Angelita
104,Angustias
105,Ani 1
106,Aníbal
107,Anita 1
108,Anselma
109,Anselmo
110,Antelmo
111,Antonia
112,Antonieta
113,Antonio
114,Anunciación
115,Apolinar
116,Apolonia
117,Araceli
118,Aracelis
119,Aracely
120,Aránzazu
121,Arcelia
122,Ariadna
123,Ariel
124,Arístides
125,Arleth
126,Armando
127,Armida
128,Aroa
129,Arsenio
130,Artemio
131,Arturo
132,Ascensión
133,Asdrúbal
134,Asun
135,Asunción
136,Atanasio
137,Atenea
138,Atilio
139,Augusto
140,Aura
141,Áurea
142,Aurelia
143,Aureliano
144,Aurelio
145,Aurora
146,Avelina 2
147,Avelino
148,Azahar
149,Azahara
150,Azeneth
151,Azucena
152,Balbina
153,Balbino
154,Baldo
155,Baldomero
156,Balduino
157,Baltasar
158,Bárbara
159,Bartolomé
160,Basilio
161,Baudilio
162,Bautista
163,Beatriz
164,Begoña
165,Belén
166,Benigna
167,Benigno
168,Benita
169,Benito
170,Benjamín
171,Bermudo
172,Bernabé
173,Bernarda
174,Bernardina
175,Bernardino
176,Bernardita
177,Bernardo
178,Berta
179,Berto
180,Betania
181,Bethania
182,Bibiana
183,Bienvenida
184,Blanca
185,Blas
186,Bolívar
187,Bonifacia
188,Bonifacio
189,Borja
