,0
0,Abraham
1,Acke
2,Adam
3,Adolf
4,Adrian
5,Agata
6,Agda
7,Agnes
8,Agneta
9,Agnetha
10,Aina 1
11,Åke
12,Albert
13,Albin
14,Alex
15,Alexander
16,Alexandra
17,Alf 1
18,Alf 3
19,Alfhild
20,Alfred
21,Algot
22,Alice
23,Alicia
24,Allan
25,Alma 1
26,Alva 1
27,Alvar
28,Alve
29,Alvin
30,Amalia
31,Amanda
32,Anders
33,Andrea 2
34,Andreas
35,Anette
36,Anita 1
37,Anja
38,Anki
39,Anna
40,Ann-Christine
41,Anne 1
42,Anneli
43,Annelie
44,Annette
45,Annica
46,Annika
47,Ann-Katrin
48,Ann-Kristin
49,Ansgar
50,Anton
51,Antonia
52,Arne 1
53,Aron
54,Arthur
55,Artur
56,Arvid
57,Åsa
58,Asbjörn
59,Åse
60,Aslög
61,Asta
62,Astrid
63,August
64,Aurora
65,Axel
66,Barbara
67,Barbro
68,Beata
69,Beatrice
70,Bengt
71,Bengta
72,Benjamin
73,Berit
74,Berith
75,Bernhard
76,Bernt
77,Bertil
78,Birger
79,Birgit
80,Birgitta
81,Bjarne
82,Björn
83,Björne
84,Bo 1
85,Bodil
86,Boel
87,Börje
88,Bosse
89,Brita
90,Britt
91,Britta
92,Bror
93,Cai 1
94,Caj
95,Cajsa
96,Calle
97,Camilla
98,Carin
99,Carina 2
100,Carita
101,Carl
102,Carola
103,Carolina
104,Caroline
105,Casper
106,Catharina
107,Cathrine
108,Catrine
109,Cecilia
110,Charlotta
111,Charlotte
112,Christel
113,Christer
114,Christian
115,Christin
116,Christina
117,Christine
118,Christoffer
119,Cilla
120,Claes
121,Clara
122,Claudia
123,Clemens
124,Dag
125,Dagmar
126,Dagny
127,Dan 2
128,Dan 3
129,Daniel
130,Danne
131,David
132,Diana
133,Dina 1
134,Doris
135,Dorotea
136,Ebba 1
137,Ebbe
138,Edit
139,Edith
140,Edvard
141,Edvin
142,Eilert
143,Einar
144,Eira 2
145,Eivor
146,Eleonor
147,Eleonora
148,Elias
149,Elin
150,Elina
151,Elis
152,Elisabet
153,Elisabeth
154,Elise
155,Ella 2
156,Ellen 1
157,Ellinor
158,Elna
159,Elof
160,Elov
161,Elsa
162,Elsie
163,Elsy
164,Elton
165,Elvira
166,Elvy
167,Emanuel
168,Embla
169,Emelie
170,Emil
171,Emilia
172,Emilie
173,Emma
174,Emmy
175,Emrik
176,Enok
177,Eric
178,Erica
179,Erik
180,Erika
181,Erland
182,Erling
183,Erna 1
184,Erna 2
185,Ernst
186,Esbjörn
187,Eskil
188,Ester
189,Esther
190,Eva
191,Evelina
192,Evert
193,Evy
194,Fanny
195,Felicia
196,Felix
197,Filip
198,Filippa
199,Finn 2
200,Folke
201,Frank
202,Frans
203,Fred
204,Fredrik
205,Fredrika
206,Frej
207,Freja
208,Frida 2
209,Fritiof
210,Fritjof
211,Gabriel
212,Gabriella
213,Georg
214,Gerd 2
215,Gerda 2
216,Gerhard
217,Gert
218,Gertrud
219,Gillis
220,Gina
221,Gittan
222,Göran
223,Gösta
224,Göstav
225,Göta
226,Göte
227,Gottfrid
228,Greger
229,Greta
230,Gry
231,Gudrun
232,Gull
233,Gun
234,Gunborg
235,Gunda
236,Gunder
237,Gunhild
238,Gunhilda
239,Gunilla
240,Gunn
241,Gunnar
242,Gunne
243,Gunnel
244,Gunvor
245,Gustaf
246,Gustav
247,Gustava
248,Håkan
249,Halsten
250,Halvar
251,Hampus
252,Hanna 1
253,Hanna 2
