,0
0,Abdülaziz
1,Abdülhamit
2,Abdülkadir
3,Abdülkerim
4,Abdullah
5,Abdüllatif
6,Ada 2
7,Adalet
8,Adem
9,Adil
10,Adile
11,Adnan
12,Ahmed
13,Ahmet
14,Ahsen
15,Ahu
16,Ajda 1
17,Akif
18,Alaattin
19,Aleyna
20,Ali 1
21,Ali Asaf
22,Alim
23,Aliye
24,Alp
25,Alparslan
26,Alpaslan
27,Alperen
28,Altan 1
29,Alya 1
30,Amine 2
31,Anıl
32,Arda
33,Arif
34,Arslan
35,Arzu
36,Asaf 2
37,Asel
38,Asena
39,Asil
40,Asım
41,Asiye
42,Aslan
43,Aslı
44,Asuman
45,Asya 2
46,Ata 1
47,Atila
48,Atilla
49,Attila
50,Ayaz
51,Ayberk
52,Ayda
53,Aydan 1
54,Aydın
55,Aygül
56,Aygün
57,Ayhan
58,Aykut
59,Ayla 2
60,Aylin
61,Aynur
62,Ayşe
63,Ayşegül
64,Aysel
65,Ayşenur
66,Aysima
67,Aysu
68,Aysun
69,Aytaç
70,Ayten
71,Azad
72,Azat
73,Aziz
74,Azize
75,Azra
76,Babür
77,Baha
78,Bahadır
79,Bahar
80,Bahtiyar
81,Baki
82,Bakır
83,Banu
84,Baran
85,Barış
86,Başak
87,Batuhan
88,Bayram
89,Begüm
90,Behiye
91,Behram
92,Belgin
93,Belinay
94,Belma
95,Berat
96,Beren
97,Beril
98,Berk
99,Berkant
100,Berkay
101,Berker
102,Berna
103,Berrak
104,Besim 1
105,Beste
106,Betül
107,Beyza
108,Bihter
109,Bilal
110,Bilge
111,Bora 1
112,Boran
113,Buğlem
114,Buğra
115,Bülent
116,Bulut
117,Bünyamin
118,Burak
119,Burçin
120,Burcu
121,Burhan
122,Burhanettin
123,Buse
124,Büşra
125,Cafer
126,Çağatay
127,Çağla
128,Çağlar
129,Çağrı
130,Cahit
131,Can
132,Canan
133,Caner
134,Cansel
135,Cansu
136,Cebrail
137,Celal
138,Çelik
139,Cem
140,Cemal
141,Cemil
142,Cemile
143,Cemre
