,0
0,Adam
1,Albina
2,Aleks
3,Aleksandr
4,Aleksandra
5,Alexandra
6,Alina
7,Aliona
8,Alisa
9,Alla
10,Alyona
11,Amvrosiy
12,Anastasia
13,Anastasiya
14,Anatoli
15,Anatoliy
16,Andrii
17,Andriy
18,Anhelina
19,Anna
20,Anton
21,Antonina
22,Anzhela
23,Anzhelika
24,Arseniy
25,Artem
26,Artur
27,Avhust
28,Avrora
29,Bohdan
30,Bohdana
31,Bohuslav
32,Bohuslava
33,Borys
34,Bronislav
35,Danyil
36,Danylo
37,Dariy
38,Dariya
39,Darya 1
40,Daryna
41,Davyd
42,Demyan
43,Denys
44,Diana
45,Dmytro
46,Eleonora
47,Emiliya
48,Erast
49,Evhen
50,Fedir
51,Feodosiy
52,Ganna
53,Halyna
54,Hanna 1
55,Havryil
56,Hennadiy
57,Heorhiy
58,Hlib
59,Hrihoriy
60,Hryhoriy
61,Ihor
62,Illya
63,Inessa
64,Inha
65,Inna
66,Iolanta
67,Iryna
68,Ivan
69,Ivanna
70,Julia
71,Juliya
72,Kalyna
73,Karyna
74,Kateryna
75,Katia
76,Katya
77,Khrystyna
78,Kira 1
79,Klara
80,Klavdiya
81,Klym
82,Klyment
83,Kostyantyn
84,Ksenia
85,Kseniya
86,Kuzma
87,Kyrylo
88,Larisa
89,Larysa
90,Lena
91,Leonid
92,Lera
93,Lesya
94,Lidiya
95,Lilia
96,Liliya
97,Lilya
98,Liubov
99,Liudmila
100,Liudmyla
101,Luba
102,Lubov
103,Lukyan
104,Lyuba
105,Lyubochka
106,Lyubov
107,Lyudmyla
108,Maks
109,Maksim
110,Maksym
111,Marharyta
112,Maria
113,Mariya
114,Mariyka
115,Markiyan
116,Marko
117,Marta
118,Martyn
119,Marusya
120,Maryana
121,Maryna
122,Matviy
123,Maxim
124,Melaniya
125,Mikhailo
126,Mila
127,Milana
128,Mykhail
129,Mykhaila
130,Mykhailo
131,Mykhaylo
132,Mykola
133,Mykyta
134,Myron
135,Myroslav
136,Myroslava
137,Nadia 1
138,Nadiia
139,Nadiya
140,Nadya 1
141,Natali
142,Natalia
143,Nataliya
144,Natalka
145,Nazar
146,Nazariy
147,Nelli
148,Nelya
149,Neonila
150,Nikandr
151,Nikita 1
152,Nil
153,Nina 1
154,Odarka
155,Ofeliya
156,Oksana
157,Oleh
158,Oleksander
159,Oleksandr
160,Oleksandra
161,Oleksiy
162,Olena
163,Oles
164,Olesya
165,Olexiy
166,Olga
167,Olha
168,Olimpiada
169,Onufriy
170,Ostap
171,Oxana
172,Pavlo
173,Petro
174,Platon
175,Polikarp
176,Polina
177,Porfyriy
178,Pylyp
179,Raisa 1
180,Raissa
181,Roksolana
182,Roman
183,Rostyslav
184,Ruslan
185,Ruslana
186,Ruvim
187,Sasha
188,Semen
189,Serhii
190,Serhiy
191,Slava
192,Sofia
193,Sofiya
194,Sofron
195,Solomiya
196,Spartak
197,Stanislav
198,Stanislava
199,Stas
200,Stefaniya
201,Stepan
202,Susanna
203,Sviatoslav
204,Svitlana
205,Svyatoslav
206,Symon
207,Taisa
208,Taisia
209,Taisiya
210,Tamara
211,Tamila
212,Taras
213,Tetiana
214,Tetyana
215,Trokhym
216,Tyberiy
217,Tymofiy
218,Tymur
219,Uliana
220,Ulyana
221,Vadym
222,Valentyn
223,Valentyna
224,Valeria
225,Valeriy
226,Valeriya
227,Valery
228,Vasyl
229,Vasylyna
230,Vatslav
231,Veronika
232,Viktor
233,Viktoria
234,Viktoriia
235,Viktoriya
236,Vira
237,Vita 2
238,Vitali
239,Vitalik
240,Vitaliy
241,Vitaliya
242,Vitaly
243,Vitold
244,Vlad
245,Vladyslav
246,Vladyslava
247,Volodya
248,Volodymyr
249,Vsevolod
250,Vyacheslav
251,Wasyl
252,Wasylyna
253,Wolodymyr
254,Yakiv
255,Yana
256,Yanina
257,Yaroslav
258,Yaroslava
259,Yelysaveta
260,Yelyzaveta
261,Yeva
262,Yevdokiya
263,Yevgen
264,Yevhen
265,Yevheniy
266,Yevheniya
267,Yevstakhiy
268,Yosyp
269,Yulia
270,Yuliy
271,Yuliya
272,Yura
273,Yuri 1
274,Yuriy
275,Zhanna
276,Zinaida
277,Zinoviy
278,Zinoviya
279,Zlata
280,Zoriana
281,Zoryana
282,Zoya
