,0
0,Alte 1
1,Alter
2,Anshel
3,Avrum
4,Baila
5,Benesh
6,Ber
7,Beyle
8,Beylke
9,Bluma
10,Breindel
11,Charna
12,Chatzkel
13,Dovid
14,Dudel
15,Eidel
16,Faiga
17,Faigel
18,Faivish
19,Fayvel
20,Feige
21,Feivel
22,Feivush
23,Fishel
24,Fishke
25,Freyde
26,Fruma
27,Gavrel
28,Gittel
29,Glika
30,Glukel
31,Golda
32,Goldie 2
33,Haskel
34,Henda
35,Hendel
36,Hene
37,Henye
38,Herschel
39,Hersh
40,Hershel
41,Heshel
42,Hirsh
43,Hirshel
44,Hode
45,Hodel
46,Iser
47,Issur
48,Kapel
49,Koppel
50,Kreindel
51,Kreine
52,Lazer
53,Leeba
54,Liba
55,Lieber
56,Mendel
57,Mirele
58,Moishe
59,Motel
60,Motke
61,Nosson
62,Perele
63,Perle
64,Raisa 2
65,Raisel
66,Rayna 2
67,Reina 2
68,Rifka
69,Rochel
70,Selig
71,Sender
72,Shaina
73,Shaindel
74,Shana 2
75,Shayna
76,Shaynah
77,Sheine
78,Shimmel
79,Shprintza
80,Shprintze
81,Shprintzel
82,Sisel
83,Sroel
84,Suri
85,Tevye
86,Toiba
87,Tzeitel
88,Velvel
89,Velvela
90,Yankel
91,Yente
92,Yentl
93,Yidel
94,Yisroel
95,Yossel
96,Yudel
97,Yudes
98,Yutke
99,Zalman
100,Zelda 1
101,Zelde
102,Zelig
103,Zisel
104,Zusa
105,Zusman
